date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-09-01,1,ACLBSL,30.57,1070.0,1084.0,1061.1,1061.4,1061.4,0.0,0.0,1064.0,1364.0,1070.0,1451291.6,51,-8.60,22.90,-0.80,2.16,-0.24,"1,284.90",965.00
2025-09-01,2,ADBL,38.71,329.6,329.6,323.2,327.47,326.9,0.57,0.0,325.37,37584.0,323.22,12228556.1,243,4.25,6.40,1.31,1.98,0.64,400.00,272.30
2025-09-01,3,ADBLD83,38.94,1090.0,1090.0,1076.0,1076.0,1076.0,0.0,0.0,1083.01,200.0,1094.0,216601.0,3,-18.00,14.00,-1.65,1.30,-0.65,"1,160.00","1,046.00"
2025-09-01,4,AHL,42.57,634.0,658.0,626.1,637.56,635.0,2.56,0.0,634.69,8335.0,633.74,5290143.8,90,3.82,31.90,0.60,5.10,0.45,891.00,579.50
2025-09-01,5,AHPC,32.87,288.0,291.0,286.3,288.67,288.0,0.67,0.0,288.27,89450.0,287.29,25785527.8,355,1.38,4.70,0.48,1.64,0.14,334.00,239.30
2025-09-01,6,AKJCL,32.53,200.0,203.4,200.0,202.91,203.0,0.09,0.0,202.24,36184.0,201.46,7317705.8,187,1.45,3.40,0.72,1.70,0.33,246.10,187.20
2025-09-01,7,AKPL,39.62,268.0,268.0,252.7,264.0,264.9,0.9,0.0,263.51,93412.0,262.88,24615266.5,352,1.12,15.30,0.43,6.05,0.18,306.50,211.30
2025-09-01,8,ALBSL,42.77,1040.4,1077.0,1040.4,1063.29,1061.0,2.29,0.0,1059.73,37114.0,1061.56,39330831.3,452,1.73,36.60,0.16,3.52,0.33,"1,135.00",771.00
2025-09-01,9,ALICL,31.11,495.3,495.3,483.0,485.24,486.0,0.76,0.0,484.8,9597.0,485.65,4652627.1,95,-0.41,12.30,-0.08,2.55,0.09,831.00,478.00
2025-09-01,10,ANLB,23.81,5809.8,5840.0,5775.1,5835.33,5840.0,4.67,0.0,5804.21,435.0,5809.8,2524830.6,40,25.53,64.90,0.44,1.12,0.53,"6,735.00","3,840.00"
2025-09-01,11,API,37.43,296.0,296.0,289.0,291.82,293.0,1.18,0.0,290.9,105523.0,291.63,30696265.1,382,0.19,7.00,0.07,2.42,0.32,362.00,246.20
2025-09-01,12,AVYAN,31.63,985.0,1010.0,985.0,998.02,1000.0,1.98,0.0,1005.22,3365.0,1004.34,3382567.3,53,-6.32,25.00,-0.63,2.54,-0.72,"1,306.80",832.00
2025-09-01,13,BARUN,33.76,348.0,359.9,346.0,349.24,349.8,0.56,0.0,348.59,58359.0,351.56,20343435.2,196,-2.32,13.90,-0.66,4.02,0.19,589.00,296.10
2025-09-01,14,BBC,35.09,5480.2,5480.2,5300.0,5317.85,5300.0,17.85,0.0,5348.31,261.0,5372.8,1395908.0,24,-54.95,180.20,-1.02,3.40,-0.57,"7,247.00","4,010.00"
2025-09-01,15,BEDC,27.24,684.1,704.9,681.0,690.71,697.9,7.19,0.01,685.25,4443.0,695.94,3044554.8,83,-5.23,23.90,-0.75,3.51,0.79,"1,080.00",417.10
2025-09-01,16,BFC,29.85,490.0,490.0,474.0,479.24,478.0,1.24,0.0,479.15,9444.0,480.81,4525137.7,97,-1.57,16.00,-0.33,3.38,0.02,951.60,456.00
2025-09-01,17,BGWT,34.71,900.0,909.0,900.0,905.64,909.0,3.36,0.0,901.17,1439.0,906.6,1296787.2,37,-0.96,9.00,-0.11,1.00,0.49,"1,241.00",857.60
2025-09-01,18,BHCL,31.37,543.0,543.0,512.0,515.8,516.0,0.2,0.0,518.08,176864.0,542.27,91630544.2,15655,-26.47,31.00,-4.88,6.05,-0.44,625.70,292.10
2025-09-01,19,BHDC,24.51,537.0,567.7,537.0,560.37,560.2,0.17,0.0,556.32,38136.0,547.92,21215653.4,246,12.45,30.70,2.27,5.72,0.72,760.20,426.00
2025-09-01,20,BHL,30.94,198.6,198.6,195.0,195.44,195.7,0.26,0.0,195.56,127488.0,196.64,24932177.5,648,-1.20,3.60,-0.61,1.85,-0.06,520.00,195.00
2025-09-01,21,BHPL,34.79,754.0,779.9,752.0,769.0,770.0,1.0,0.0,760.02,1641.0,766.0,1247192.8,47,3.00,27.90,0.39,3.71,1.17,"1,308.40",654.00
2025-09-01,22,BNHC,32.25,506.0,512.0,505.0,506.58,509.0,2.42,0.0,507.79,13155.0,505.75,6679933.7,82,0.83,7.00,0.16,1.39,-0.24,619.00,440.00
