date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-07-23,1,ACLBSL,38.19,930.1,950.0,925.5,950.0,950.0,0.0,0.0,929.32,442.0,952.0,410758.2,17,-2.00,24.50,-0.21,2.65,2.18,966.22,969.26,"1,240.00",827.90
2026-07-23,2,ADBL,41.89,310.0,325.0,310.0,317.0,317.0,0.0,0.0,315.48,19009.0,318.9,5996917.5,99,-1.90,15.00,-0.60,4.84,0.48,309.71,307.98,344.90,285.20
2026-07-23,3,AHL,37.24,425.5,433.8,425.5,432.0,432.0,0.0,0.0,430.52,1873.0,430.8,806361.7,29,1.20,8.30,0.28,1.95,0.34,506.52,535.26,700.00,405.00
2026-07-23,4,AHPC,42.02,274.9,277.0,270.2,277.0,277.0,0.0,0.0,273.13,59319.0,275.0,16201890.2,211,2.00,6.80,0.73,2.52,1.40,280.55,279.21,334.00,250.10
2026-07-23,5,AKJCL,44.59,370.0,391.0,370.0,386.5,386.5,0.0,0.0,382.66,719259.0,388.0,275233779.8,1322,-1.50,21.00,-0.39,5.68,0.99,372.11,311.50,461.40,172.90
2026-07-23,6,AKPL,43.55,255.0,274.7,255.0,266.0,266.0,0.0,0.0,265.1,68149.0,267.0,18066298.7,168,-1.00,19.70,-0.37,7.73,0.34,270.48,261.81,317.00,227.50
2026-07-23,7,ALBSL,39.29,1070.0,1129.0,1070.0,1094.9,1094.9,0.0,0.0,1083.72,3151.0,1101.0,3414794.0,88,-6.10,59.00,-0.55,5.51,1.02,"1,128.61","1,113.73","1,334.00",920.00
2026-07-23,8,ALICL,38.61,435.1,441.0,435.0,441.0,441.0,0.0,0.0,437.76,7997.0,438.0,3500748.6,66,3.00,6.00,0.68,1.38,0.74,456.68,460.25,550.00,413.40
2026-07-23,9,ANLB,25.44,5600.0,6491.0,5600.0,5818.0,5818.0,0.0,0.0,5691.52,1113.0,5841.0,6334660.6,73,-23.00,891.00,-0.39,15.91,2.17,"6,200.64","6,197.77","7,560.00","5,450.00"
2026-07-23,10,APHL,46.23,837.0,930.0,827.0,930.0,930.0,0.0,0.0,882.45,64326.0,837.5,56764243.2,1117,92.50,103.00,11.04,12.45,5.11,0.00,0.00,"1,053.40",299.70
2026-07-23,11,API,43.61,340.0,345.0,339.0,342.5,342.5,0.0,0.0,341.51,255571.0,343.5,87279722.0,495,-1.00,6.00,-0.29,1.77,0.29,334.21,317.75,370.00,258.80
2026-07-23,12,AVYAN,41.72,1083.0,1083.0,1052.0,1079.0,1079.0,0.0,0.0,1066.35,2060.0,1074.0,2196677.0,44,5.00,31.00,0.47,2.95,1.17,"1,077.35","1,041.76","1,366.00",906.00
2026-07-23,13,BANDIPUR,39.95,723.0,760.0,723.0,760.0,760.0,0.0,0.0,744.25,30521.0,739.1,22715386.5,443,20.90,37.00,2.83,5.12,2.07,872.59,0.00,"1,233.00",285.00
2026-07-23,14,BARUN,42.64,331.0,335.0,328.0,335.0,335.0,0.0,0.0,332.0,27519.0,335.0,9136350.2,133,0.00,7.00,0.00,2.13,0.90,349.06,341.57,421.00,292.10
2026-07-23,15,BBC,42.37,4379.0,4390.0,4241.0,4390.0,4390.0,0.0,0.0,4342.57,397.0,4268.0,1724000.0,32,122.00,149.00,2.86,3.51,1.08,"4,668.26","4,740.68","6,120.00","4,021.10"
2026-07-23,16,BEDC,37.83,340.0,340.0,325.0,330.0,330.0,0.0,0.0,328.17,23206.0,330.1,7615549.3,138,-0.10,15.00,-0.03,4.62,0.55,426.71,471.19,872.00,303.10
2026-07-23,17,BFC,41.95,526.0,535.0,520.0,533.0,533.0,0.0,0.0,527.65,64041.0,535.1,33790992.9,381,-2.10,15.00,-0.39,2.88,1.00,485.20,478.99,579.90,411.50
2026-07-23,18,BGWT,39.8,609.0,614.9,601.5,610.0,610.0,0.0,0.0,609.33,1013.0,613.0,617254.1,28,-3.00,13.40,-0.49,2.23,0.11,697.15,722.89,993.00,516.10
2026-07-23,19,BHCL,37.48,491.0,518.0,491.0,515.0,515.0,0.0,0.0,505.97,34661.0,499.0,17537268.7,347,16.00,27.00,3.21,5.50,1.75,559.73,532.92,699.00,292.10
2026-07-23,20,BHDC,42.5,437.5,445.0,437.0,444.9,444.9,0.0,0.0,440.05,7813.0,445.0,3438120.2,64,-0.10,8.00,-0.02,1.83,1.09,467.72,477.18,706.00,412.00
2026-07-23,21,BHL,41.89,217.0,217.0,213.4,215.2,215.2,0.0,0.0,214.63,62803.0,215.5,13479235.3,257,-0.30,3.60,-0.14,1.69,0.27,217.31,204.60,264.40,164.00
2026-07-23,22,BHPL,40.17,504.9,504.9,487.0,491.0,491.0,0.0,0.0,493.55,2567.0,495.9,1266948.0,22,-4.90,17.90,-0.99,3.68,-0.52,541.69,567.50,896.90,449.00
2026-07-23,23,BJHL,43.12,719.0,792.0,719.0,790.0,790.0,0.0,0.0,769.59,33953.0,756.1,26130015.4,262,33.90,73.00,4.48,10.15,2.58,0.00,0.00,"1,305.00",270.10
2026-07-23,24,BNHC,44.38,296.9,296.9,288.7,295.0,295.0,0.0,0.0,292.15,39381.0,296.9,11505297.6,202,-1.90,8.20,-0.64,2.84,0.96,362.42,387.67,613.80,261.30
2026-07-23,25,BNT,33.79,11578.1,11578.1,11578.1,11578.1,11578.1,0.0,0.0,11578.1,25.0,11571.0,289452.5,3,7.10,0.00,0.06,0.00,0.00,"11,747.44","11,667.35","13,205.00","10,660.00"
2026-07-23,26,BOKD86KA,26.08,1102.0,1102.0,1100.0,1100.0,1100.0,0.0,0.0,1101.2,25.0,1134.0,27530.0,2,-34.00,2.00,-3.00,0.18,-0.11,0.00,0.00,"1,247.00","1,100.00"
2026-07-23,27,BPCL,38.09,705.3,705.3,656.0,670.9,670.9,0.0,0.0,666.22,19529.0,671.8,13010574.1,140,-0.90,49.30,-0.13,7.52,0.70,699.82,709.81,"1,065.00",612.00
2026-07-23,28,BUNGAL,47.29,669.8,669.8,612.1,635.0,635.0,0.0,0.0,639.61,191406.0,705.0,122425656.7,1183,-70.00,57.70,-9.93,9.43,-0.73,659.22,0.00,895.00,302.40
2026-07-23,29,C30MF,28.5,10.0,10.22,10.0,10.22,10.22,0.0,0.0,10.11,200.0,10.09,2022.0,2,0.13,0.22,1.29,2.20,1.08,9.97,9.71,10.71,8.70
2026-07-23,30,CBBL,36.74,929.1,934.0,929.1,932.0,932.0,0.0,0.0,931.4,11789.0,933.5,10980282.9,139,-1.50,4.90,-0.16,0.53,0.06,924.33,946.05,"1,144.80",882.00
2026-07-23,31,CFCL,42.56,610.0,660.0,610.0,649.9,649.9,0.0,0.0,645.15,110432.0,641.3,71245102.5,336,8.60,50.00,1.34,8.20,0.73,560.77,535.35,695.00,445.10
2026-07-23,32,CGH,41.62,785.0,792.0,773.0,792.0,792.0,0.0,0.0,778.77,19050.0,785.0,14835498.7,74,7.00,19.00,0.89,2.46,1.67,818.48,836.13,"1,150.00",748.00
