date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-08-04,1,ACLBSL,28.59,1118.0,1139.0,1100.0,1118.73,1119.0,0.27,0.0,1116.2,2441.0,1118.47,2724632.5,65,0.26,39.00,0.02,3.55,0.23,"1,345.00",965.00
2025-08-04,2,ADBL,30.34,322.0,329.0,322.0,327.91,328.0,0.09,0.0,326.4,73743.0,326.37,24069357.3,276,1.54,7.00,0.47,2.17,0.46,428.40,272.30
2025-08-04,3,ADBLD83,44.92,1130.1,1130.1,1130.1,1135.0,1130.1,4.9,0.0,1135.0,1.0,1130.1,1135.0,1,4.90,0.00,0.43,0.00,0.00,"1,160.00","1,046.00"
2025-08-04,4,AHL,28.27,645.0,655.9,624.0,643.33,646.9,3.57,0.01,641.35,7228.0,650.53,4635698.5,114,-7.20,31.90,-1.11,5.11,0.31,891.00,579.50
2025-08-04,5,AHPC,29.78,301.0,304.0,296.9,301.45,302.1,0.65,0.0,300.68,352890.0,300.56,106107383.2,1115,0.89,7.10,0.30,2.39,0.26,349.00,221.10
2025-08-04,6,AKJCL,28.08,207.7,218.1,207.7,215.09,215.0,0.09,0.0,213.69,156500.0,211.92,33441777.0,564,3.17,10.40,1.50,5.01,0.65,274.90,187.20
2025-08-04,7,AKPL,27.99,276.0,276.0,267.1,272.08,273.0,0.92,0.0,271.73,241200.0,270.96,65540339.7,871,1.12,8.90,0.41,3.33,0.13,326.00,211.00
2025-08-04,8,ALBSL,38.65,944.3,984.0,944.0,958.55,961.0,2.45,0.0,962.93,46397.0,925.8,44677258.2,462,32.75,40.00,3.54,4.24,-0.46,"1,177.00",771.00
2025-08-04,9,ALICL,27.89,514.5,514.5,500.0,505.23,506.0,0.77,0.0,503.92,26482.0,505.3,13344752.6,204,-0.07,14.50,-0.01,2.90,0.26,831.00,484.80
2025-08-04,10,ANLB,32.99,5700.0,5786.0,5675.1,5701.0,5701.0,0.0,0.0,5694.39,451.0,5752.73,2568169.5,53,-51.73,110.90,-0.90,1.95,0.12,"6,735.00","2,753.00"
2025-08-04,11,API,28.72,306.9,307.0,299.0,302.46,302.5,0.04,0.0,301.76,220706.0,302.47,66600412.4,914,-0.01,8.00,0.00,2.68,0.23,390.00,246.00
2025-08-04,12,AVYAN,29.28,1092.0,1135.0,1080.0,1110.48,1126.0,15.52,0.01,1101.77,6188.0,1113.84,6817758.0,124,-3.36,55.00,-0.30,5.09,0.78,"1,306.80",832.00
2025-08-04,13,BARUN,32.72,375.0,383.9,368.0,374.73,375.0,0.27,0.0,374.07,100911.0,377.17,37748031.0,554,-2.44,15.90,-0.65,4.32,0.18,589.00,296.10
2025-08-04,14,BBC,32.62,5569.0,6023.0,5475.0,5655.0,5655.0,0.0,0.0,5643.74,1172.0,5485.1,6614462.8,90,169.90,548.00,3.10,10.01,0.20,"7,247.00","4,010.00"
2025-08-04,15,BEDC,28.15,782.0,812.0,745.1,759.99,760.0,0.01,0.0,767.36,22920.0,767.46,17587909.3,252,-7.47,66.90,-0.97,8.98,-0.97,"1,080.00",417.10
