date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-12-23,1,ACLBSL,27.87,911.0,911.0,900.0,905.0,905.0,0.0,0.0,904.44,437.0,911.0,395238.7,14,-6.00,11.00,-0.66,1.22,0.06,"1,284.90",900.00
2025-12-23,2,ADBL,33.19,288.0,290.0,285.2,286.9,286.9,0.0,0.0,286.19,23575.0,288.8,6746825.5,114,-1.90,4.80,-0.66,1.68,0.25,344.90,272.30
2025-12-23,3,AHL,22.38,544.2,550.0,544.2,550.0,550.0,0.0,0.0,547.88,2216.0,550.2,1214098.0,56,-0.20,5.80,-0.04,1.07,0.39,891.00,544.20
2025-12-23,4,AHPC,26.8,278.0,278.0,271.0,273.4,273.4,0.0,0.0,272.36,80001.0,272.6,21789152.3,260,0.80,7.00,0.29,2.58,0.38,334.00,239.30
2025-12-23,5,AKJCL,36.73,184.0,185.1,182.1,183.0,183.0,0.0,0.0,183.93,37248.0,184.0,6850992.4,138,-1.00,3.00,-0.54,1.65,-0.51,233.50,172.90
2025-12-23,6,AKPL,44.3,241.1,245.7,240.8,245.6,245.6,0.0,0.0,242.78,98123.0,242.9,23822595.1,213,2.70,4.90,1.11,2.03,1.15,306.50,216.10
2025-12-23,7,ALBSL,35.85,1092.7,1134.0,1092.7,1134.0,1134.0,0.0,0.0,1123.75,18531.0,1115.0,20824231.2,247,19.00,41.30,1.70,3.78,0.90,"1,237.90",771.00
2025-12-23,8,ALICL,18.65,456.0,462.0,454.1,456.0,456.0,0.0,0.0,457.39,23604.0,456.9,10796296.8,150,-0.90,7.90,-0.20,1.74,-0.31,831.00,430.00
2025-12-23,9,ANLB,32.67,6010.0,6128.9,6010.0,6128.9,6128.9,0.0,0.0,6074.76,168.0,6098.0,1020559.5,17,30.90,118.90,0.51,1.98,0.88,"6,800.00","4,673.00"
2025-12-23,10,API,32.52,286.0,289.0,285.0,288.0,288.0,0.0,0.0,287.03,177114.0,286.0,50837829.6,492,2.00,4.00,0.70,1.40,0.34,335.00,250.00
2025-12-23,11,AVYAN,26.48,916.4,932.0,916.4,928.1,928.1,0.0,0.0,925.68,489.0,929.0,452656.0,26,-0.90,15.60,-0.10,1.70,0.26,"1,306.80",906.00
2025-12-23,12,BANDIPUR,27.9,720.0,744.6,720.0,733.0,733.0,0.0,0.0,731.69,68164.0,728.6,49874990.7,2963,4.40,24.60,0.60,3.42,0.18,837.00,285.00
2025-12-23,13,BARUN,28.51,311.0,316.0,310.2,314.0,314.0,0.0,0.0,313.55,51238.0,312.0,16065538.5,241,2.00,5.80,0.64,1.87,0.14,589.00,292.10
2025-12-23,14,BBC,31.65,4859.0,4859.0,4820.0,4850.0,4850.0,0.0,0.0,4835.01,123.0,4850.0,594706.0,9,0.00,39.00,0.00,0.81,0.31,"6,661.60","4,480.00"
2025-12-23,15,BEDC,30.76,533.4,543.0,519.8,524.0,524.0,0.0,0.0,522.64,10254.0,523.0,5359159.5,121,1.00,23.20,0.19,4.46,0.26,"1,080.00",501.00
2025-12-23,16,BFC,28.64,462.9,462.9,450.0,454.8,454.8,0.0,0.0,452.51,11581.0,454.0,5240552.2,83,0.80,12.90,0.18,2.87,0.50,745.80,411.50
2025-12-23,17,BGWT,22.33,762.0,770.0,755.0,770.0,770.0,0.0,0.0,763.0,576.0,777.0,439489.1,20,-7.00,15.00,-0.90,1.99,0.91,"1,241.00",750.00
2025-12-23,18,BHCL,23.88,480.1,494.0,477.1,487.0,487.0,0.0,0.0,483.35,48033.0,489.0,23216841.9,840,-2.00,16.90,-0.41,3.54,0.75,625.70,292.10
