date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-04-22,1,ACLBSL,34.66,979.0,979.0,945.0,956.0,956.0,0.0,0.0,952.6,1822.0,979.0,1735629.1,48,-23.00,34.00,-2.35,3.60,0.36,981.82,"1,016.28","1,240.00",900.00
2026-04-22,2,ADBL,29.7,312.2,316.9,310.0,315.0,315.0,0.0,0.0,312.62,23838.0,316.9,7452188.2,204,-1.90,6.90,-0.60,2.23,0.76,306.97,311.75,344.90,272.30
2026-04-22,3,AHL,33.71,555.8,555.8,523.8,536.0,536.0,0.0,0.0,533.93,34906.0,585.0,18637295.3,292,-49.00,32.00,-8.38,6.11,0.39,567.70,590.82,750.00,461.10
2026-04-22,4,AHPC,31.03,280.0,286.5,277.0,284.8,284.8,0.0,0.0,280.29,197828.0,282.0,55450196.7,731,2.80,9.50,0.99,3.43,1.58,281.96,285.79,334.00,250.10
2026-04-22,5,AKJCL,29.1,375.0,388.2,362.0,383.0,383.0,0.0,0.0,372.76,565247.0,375.0,210699162.0,871,8.00,26.20,2.13,7.24,2.67,273.90,251.58,431.80,172.90
2026-04-22,6,AKPL,32.97,258.5,278.0,258.5,275.0,275.0,0.0,0.0,270.12,171776.0,272.1,46400368.2,573,2.90,19.50,1.07,7.54,1.77,260.12,261.26,317.00,224.70
2026-04-22,7,ALBSL,31.14,1202.1,1202.1,1118.1,1138.0,1138.0,0.0,0.0,1124.0,6188.0,1144.9,6955302.1,138,-6.90,84.00,-0.60,7.51,1.23,"1,119.60","1,064.06","1,334.00",771.00
2026-04-22,8,ALICL,33.95,454.0,460.0,450.4,457.0,457.0,0.0,0.0,453.78,13616.0,459.0,6178622.7,126,-2.00,9.60,-0.44,2.13,0.71,467.66,477.40,759.00,430.00
2026-04-22,9,ANLB,28.48,6056.0,6424.0,6056.0,6285.0,6285.0,0.0,0.0,6167.74,588.0,6329.0,3626630.4,28,-44.00,368.00,-0.70,6.08,1.87,"6,254.10","6,099.91","6,989.00","5,055.20"
2026-04-22,10,API,27.62,340.0,347.0,332.0,341.0,341.0,0.0,0.0,338.4,383874.0,339.1,129901644.7,997,1.90,15.00,0.56,4.52,0.76,304.30,301.65,368.90,258.80
2026-04-22,11,AVYAN,29.28,1106.0,1129.0,1068.1,1080.0,1080.0,0.0,0.0,1080.19,10634.0,1105.5,11486764.7,156,-25.50,60.90,-2.31,5.70,-0.02,"1,016.40","1,030.15","1,366.00",906.00
2026-04-22,12,BANDIPUR,34.69,921.9,921.9,850.3,862.0,862.0,0.0,0.0,865.16,58291.0,879.5,50430976.9,962,-17.50,71.60,-1.99,8.42,-0.37,0.00,0.00,"1,233.00",285.00
