date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-12-18,1,ACLBSL,26.96,925.0,938.0,923.0,930.0,930.0,0.0,0.0,930.86,2822.0,939.0,2626876.5,62,-9.00,15.00,-0.96,1.63,-0.09,"1,284.90",923.00
2025-12-18,2,ADBL,32.43,297.0,297.0,291.0,292.0,292.0,0.0,0.0,292.35,11848.0,294.0,3463805.3,112,-2.00,6.00,-0.68,2.06,-0.12,344.90,272.30
2025-12-18,3,AHL,25.22,583.0,583.0,571.3,572.0,572.0,0.0,0.0,575.22,9929.0,580.2,5711323.7,102,-8.20,11.70,-1.41,2.05,-0.56,891.00,571.30
2025-12-18,4,AHPC,37.82,281.9,281.9,277.0,278.6,278.6,0.0,0.0,278.32,70444.0,281.5,19605999.4,226,-2.90,4.90,-1.03,1.77,0.10,334.00,239.30
2025-12-18,5,AKJCL,31.54,183.2,185.0,182.0,182.4,182.4,0.0,0.0,182.51,42178.0,183.2,7697745.7,172,-0.80,3.00,-0.44,1.65,-0.06,233.50,172.90
2025-12-18,6,AKPL,40.97,245.0,246.7,243.0,243.9,243.9,0.0,0.0,244.48,68968.0,245.0,16861300.2,166,-1.10,3.70,-0.45,1.52,-0.24,306.50,216.10
2025-12-18,7,ALBSL,35.66,1085.0,1122.0,1085.0,1109.0,1109.0,0.0,0.0,1106.91,36232.0,1096.6,40105639.1,336,12.40,37.00,1.13,3.41,0.19,"1,237.90",771.00
2025-12-18,8,ALICL,31.85,470.0,474.0,464.1,464.8,464.8,0.0,0.0,465.65,33687.0,469.5,15686472.3,235,-4.70,9.90,-1.00,2.13,-0.18,831.00,430.00
2025-12-18,9,ANLB,34.07,6294.0,6294.0,6168.2,6168.2,6168.2,0.0,0.0,6231.1,20.0,6180.0,124622.0,2,-11.80,125.80,-0.19,2.04,-1.02,"6,800.00","4,673.00"
2025-12-18,10,API,42.14,290.0,290.8,287.0,288.0,288.0,0.0,0.0,287.57,103102.0,290.0,29649141.3,227,-2.00,3.80,-0.69,1.32,0.15,335.00,246.20
2025-12-18,11,AVYAN,26.95,947.0,965.0,940.0,954.0,954.0,0.0,0.0,947.97,2942.0,955.0,2788937.5,61,-1.00,25.00,-0.10,2.66,0.63,"1,306.80",906.00
2025-12-18,12,BANDIPUR,33.21,774.0,778.0,760.0,762.1,762.1,0.0,0.0,767.14,96768.0,774.0,74234887.7,2781,-11.90,18.00,-1.54,2.37,-0.66,837.00,285.00
2025-12-18,13,BARUN,32.51,327.0,327.0,316.0,316.1,316.1,0.0,0.0,318.17,88020.0,322.9,28005540.1,332,-6.80,11.00,-2.11,3.48,-0.66,589.00,292.10
2025-12-18,14,BBC,30.54,4807.1,4882.0,4807.1,4873.9,4873.9,0.0,0.0,4865.57,162.0,4849.1,788222.5,13,24.80,74.90,0.51,1.56,0.17,"6,661.60","4,480.00"
2025-12-18,15,BEDC,33.6,540.0,547.0,537.0,542.9,542.9,0.0,0.0,540.66,23664.0,544.0,12794090.5,199,-1.10,10.00,-0.20,1.86,0.41,"1,080.00",501.00
2025-12-18,16,BFC,23.6,474.0,474.0,460.2,460.2,460.2,0.0,0.0,465.87,22119.0,468.3,10304673.2,122,-8.10,13.80,-1.73,3.00,-1.23,745.80,411.50
2025-12-18,17,BGWT,26.26,776.0,783.0,772.0,773.2,773.2,0.0,0.0,774.25,2730.0,785.0,2113689.5,46,-11.80,11.00,-1.50,1.42,-0.14,"1,241.00",750.10
2025-12-18,18,BHCL,25.97,502.0,503.9,484.1,485.0,485.0,0.0,0.0,490.84,100733.0,497.3,49444205.1,1044,-12.30,19.80,-2.47,4.09,-1.20,625.70,292.10
2025-12-18,19,BHDC,40.89,482.0,485.0,481.0,485.0,485.0,0.0,0.0,483.2,32724.0,484.1,15812307.6,223,0.90,4.00,0.19,0.83,0.37,760.20,426.00
2025-12-18,20,BHL,36.9,179.0,179.0,176.1,177.1,177.1,0.0,0.0,177.1,51680.0,177.7,9152381.1,316,-0.60,2.90,-0.34,1.65,0.00,410.00,164.00
2025-12-18,21,BHPL,31.21,549.5,555.0,507.0,534.0,534.0,0.0,0.0,529.45,466967.0,560.7,247234380.0,1351,-26.70,48.00,-4.76,9.47,0.85,"1,308.40",507.00
2025-12-18,22,BNHC,28.6,438.0,444.9,437.5,442.0,442.0,0.0,0.0,439.76,9075.0,443.0,3990779.8,85,-1.00,7.40,-0.23,1.69,0.51,608.00,393.00
2025-12-18,23,BNL,24.13,15600.0,15600.0,15600.0,15600.0,15600.0,0.0,0.0,15600.0,10.0,15680.0,156000.0,1,-80.00,0.00,-0.51,0.00,0.00,"22,500.00","14,900.00"
2025-12-18,24,BNT,18.41,12036.6,12036.6,11831.0,11831.0,11831.0,0.0,0.0,11841.76,38.0,12036.6,449987.0,8,-205.60,205.60,-1.71,1.74,-0.09,"14,680.00","10,660.00"
