date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-05-04,1,ACLBSL,25.47,950.0,957.5,925.1,957.5,957.5,0.0,0.0,937.2,386.0,941.1,361758.0,24,16.40,32.40,1.74,3.50,2.12,980.02,"1,013.23","1,240.00",827.90
2026-05-04,2,ADBL,23.25,314.0,314.0,305.1,305.5,305.5,0.0,0.0,307.36,21066.0,309.5,6474763.6,181,-4.00,8.90,-1.29,2.92,-0.61,307.02,312.45,344.90,272.30
2026-05-04,3,AHL,22.2,535.0,535.0,500.0,512.0,512.0,0.0,0.0,508.06,7813.0,534.0,3969476.6,105,-22.00,35.00,-4.12,7.00,0.77,560.55,586.94,721.00,461.10
2026-05-04,4,AHPC,23.92,275.0,280.0,271.0,271.0,271.0,0.0,0.0,272.79,115082.0,277.0,31393727.5,433,-6.00,9.00,-2.17,3.32,-0.66,282.03,285.51,334.00,250.10
2026-05-04,5,AKJCL,24.04,389.0,389.0,349.7,351.0,351.0,0.0,0.0,357.49,424809.0,375.0,151864138.5,724,-24.00,39.30,-6.40,11.24,-1.85,285.20,258.20,431.80,172.90
2026-05-04,6,AKPL,21.39,255.0,273.1,255.0,261.9,261.9,0.0,0.0,263.07,73485.0,267.8,19331497.3,326,-5.90,18.10,-2.20,7.10,-0.45,261.72,261.55,317.00,227.50
2026-05-04,7,ALBSL,30.87,1070.0,1135.0,1070.0,1109.9,1109.9,0.0,0.0,1105.43,2307.0,1115.0,2550230.7,113,-5.10,65.00,-0.46,6.07,0.40,"1,128.45","1,075.98","1,334.00",771.00
2026-05-04,8,ALICL,26.4,450.0,454.7,445.0,447.2,447.2,0.0,0.0,446.87,18756.0,450.5,8381519.1,124,-3.30,9.70,-0.73,2.18,0.07,467.77,475.37,759.00,430.00
2026-05-04,9,ANLB,26.17,6100.0,6100.0,6000.0,6000.1,6000.1,0.0,0.0,6010.26,213.0,6285.0,1280184.5,19,-284.90,100.00,-4.53,1.67,-0.17,"6,249.49","6,126.01","6,989.00","5,055.20"
2026-05-04,10,API,25.54,341.0,341.0,329.0,330.0,330.0,0.0,0.0,331.1,142392.0,334.9,47145338.0,525,-4.90,12.00,-1.46,3.65,-0.33,307.88,303.40,368.90,258.80
2026-05-04,11,AVYAN,43.3,1100.0,1158.7,1100.0,1115.0,1115.0,0.0,0.0,1118.48,10880.0,1100.0,12169079.8,195,15.00,58.70,1.36,5.34,-0.31,"1,024.41","1,033.49","1,366.00",906.00
2026-05-04,12,BANDIPUR,20.26,825.0,829.7,797.0,801.0,801.0,0.0,0.0,805.04,29428.0,824.7,23690608.1,670,-23.70,32.70,-2.87,4.10,-0.50,0.00,0.00,"1,233.00",285.00
2026-05-04,13,BARUN,24.26,340.0,345.0,334.1,335.0,335.0,0.0,0.0,336.16,51703.0,340.0,17380522.8,232,-5.00,10.90,-1.47,3.26,-0.35,345.75,352.89,584.00,292.10
2026-05-04,14,BBC,34.4,4730.2,4830.0,4700.2,4750.0,4750.0,0.0,0.0,4738.06,459.0,4814.9,2174771.2,19,-64.90,129.80,-1.35,2.76,0.25,"4,879.31","5,016.69","6,448.00","4,480.00"
2026-05-04,15,BEDC,30.74,366.1,370.0,354.2,358.0,358.0,0.0,0.0,361.28,57202.0,365.9,20666016.9,306,-7.90,15.80,-2.16,4.46,-0.92,524.98,583.08,872.00,346.80
2026-05-04,16,BFC,25.17,451.0,451.0,441.0,443.0,443.0,0.0,0.0,446.58,9306.0,449.0,4155830.9,99,-6.00,10.00,-1.34,2.27,-0.81,473.24,480.42,579.90,411.50
2026-05-04,17,BGWT,26.88,710.0,710.0,682.5,682.5,682.5,0.0,0.0,692.24,3384.0,705.0,2342541.7,40,-22.50,27.50,-3.19,4.03,-1.43,765.21,815.19,"1,110.00",682.50
2026-05-04,18,BHCL,22.03,510.0,529.0,502.0,509.9,509.9,0.0,0.0,508.98,11312.0,519.0,5757613.3,288,-9.10,27.00,-1.75,5.38,0.18,536.21,0.00,699.00,292.10
2026-05-04,19,BHDC,28.93,456.0,460.0,452.1,452.5,452.5,0.0,0.0,455.89,104499.0,455.1,47640197.4,79,-2.60,7.90,-0.57,1.75,-0.75,486.61,513.93,706.00,426.00
2026-05-04,20,BHL,22.07,207.0,220.0,207.0,214.1,214.1,0.0,0.0,214.74,116715.0,217.6,25063781.8,597,-3.50,13.00,-1.61,6.28,-0.30,200.39,200.80,264.40,164.00
2026-05-04,21,BHPL,25.39,524.8,538.0,511.0,511.0,511.0,0.0,0.0,518.32,9253.0,520.2,4796042.6,114,-9.20,27.00,-1.77,5.28,-1.43,589.05,647.25,"1,308.40",503.10
2026-05-04,22,BJHL,21.35,1035.0,1064.9,950.0,960.0,960.0,0.0,0.0,980.13,11405.0,1035.0,11178372.3,431,-75.00,114.90,-7.25,12.09,-2.10,0.00,0.00,"1,305.00",270.10
2026-05-04,23,BNHC,36.73,327.5,327.5,317.0,325.0,325.0,0.0,0.0,321.09,9491.0,327.5,3047455.4,87,-2.50,10.50,-0.76,3.31,1.20,419.67,448.48,613.80,313.10
