date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-12-29,1,ACLBSL,40.53,926.0,933.0,926.0,930.0,930.0,0.0,0.0,927.74,2161.0,935.9,2004838.2,38,-5.90,7.00,-0.63,0.76,0.24,"1,284.90",900.00
2025-12-29,2,ADBL,39.06,302.9,302.9,292.0,294.4,294.4,0.0,0.0,295.23,31487.0,297.0,9295774.0,166,-2.60,10.90,-0.88,3.73,-0.28,344.90,272.30
2025-12-29,3,AHL,34.31,573.2,573.2,547.0,547.0,547.0,0.0,0.0,554.66,6671.0,562.0,3700137.8,61,-15.00,26.20,-2.67,4.79,-1.40,891.00,544.20
2025-12-29,4,AHPC,42.25,283.5,283.5,274.1,275.0,275.0,0.0,0.0,277.12,93875.0,278.0,26014615.7,314,-3.00,9.40,-1.08,3.43,-0.77,334.00,239.30
2025-12-29,5,AKJCL,45.03,188.0,190.6,186.5,186.9,186.9,0.0,0.0,188.79,142362.0,186.7,26876677.7,290,0.20,4.10,0.11,2.20,-1.01,233.50,172.90
2025-12-29,6,AKPL,44.52,251.0,251.0,245.0,247.0,247.0,0.0,0.0,247.27,139257.0,248.9,34434712.4,259,-1.90,6.00,-0.76,2.45,-0.11,306.50,216.10
2025-12-29,7,ALBSL,36.86,1159.4,1185.0,1159.4,1179.0,1179.0,0.0,0.0,1172.73,14481.0,1183.0,16982281.7,139,-4.00,25.60,-0.34,2.21,0.53,"1,237.90",771.00
2025-12-29,8,ALICL,40.59,463.0,470.0,458.3,464.5,464.5,0.0,0.0,462.81,35423.0,468.5,16394197.9,215,-4.00,11.70,-0.85,2.55,0.36,831.00,430.00
2025-12-29,9,ANLB,33.15,6000.3,6100.0,6000.3,6100.0,6100.0,0.0,0.0,6016.53,68.0,6114.9,409124.0,9,-14.90,99.70,-0.24,1.66,1.37,"6,800.00","4,673.00"
2025-12-29,10,API,43.01,299.8,299.8,291.6,292.5,292.5,0.0,0.0,293.0,144967.0,295.7,42475441.1,441,-3.20,8.20,-1.08,2.81,-0.17,335.00,251.00
2025-12-29,11,AVYAN,33.54,930.0,935.0,925.0,925.0,925.0,0.0,0.0,927.82,1056.0,940.0,979779.3,41,-15.00,10.00,-1.60,1.08,-0.31,"1,306.80",906.00
2025-12-29,12,BANDIPUR,40.7,743.0,763.9,741.1,746.2,746.2,0.0,0.0,750.83,88588.0,743.9,66514679.7,2356,2.30,22.80,0.31,3.08,-0.62,837.00,285.00
2025-12-29,13,BARUN,39.6,324.0,324.0,315.0,318.8,318.8,0.0,0.0,320.09,95850.0,321.0,30680374.7,293,-2.20,9.00,-0.69,2.86,-0.40,589.00,292.10
2025-12-29,14,BBC,39.2,4800.0,4895.6,4800.0,4860.0,4860.0,0.0,0.0,4858.18,260.0,4896.6,1263126.5,23,-36.60,95.60,-0.75,1.99,0.04,"6,661.60","4,480.00"
2025-12-29,15,BEDC,44.21,530.0,547.0,526.3,539.8,539.8,0.0,0.0,542.48,22454.0,526.0,12180820.9,203,13.80,20.70,2.62,3.93,-0.50,"1,080.00",501.00
2025-12-29,16,BFC,38.87,470.2,472.0,456.2,456.2,456.2,0.0,0.0,463.63,22337.0,461.0,10356094.3,146,-4.80,15.80,-1.04,3.46,-1.63,745.80,411.50
2025-12-29,17,BGWT,36.15,751.2,790.0,751.2,775.0,775.0,0.0,0.0,776.65,6343.0,761.1,4926270.4,96,13.90,38.80,1.83,5.17,-0.21,"1,241.00",750.00
2025-12-29,18,BHCL,22.77,484.0,485.0,475.0,475.1,475.1,0.0,0.0,477.66,56150.0,484.0,26820516.5,671,-8.90,10.00,-1.84,2.11,-0.54,625.70,292.10
2025-12-29,19,BHDC,38.04,480.0,482.0,476.0,478.0,478.0,0.0,0.0,478.47,29983.0,480.9,14346018.1,166,-2.90,6.00,-0.60,1.26,-0.10,760.20,426.00
2025-12-29,20,BHL,38.31,179.9,180.0,177.5,178.0,178.0,0.0,0.0,178.13,41415.0,178.5,7377249.4,243,-0.50,2.50,-0.28,1.41,-0.07,405.00,164.00
2025-12-29,21,BHPL,37.19,503.1,527.0,503.1,517.0,517.0,0.0,0.0,515.08,78189.0,512.9,40273413.9,319,4.10,23.90,0.80,4.75,0.37,"1,308.40",503.10
2025-12-29,22,BNHC,43.44,450.0,450.0,440.0,440.0,440.0,0.0,0.0,444.5,11787.0,442.4,5239263.7,79,-2.40,10.00,-0.54,2.27,-1.02,608.00,393.00
2025-12-29,23,BNT,35.78,12150.0,12150.0,12100.0,12100.0,12100.0,0.0,0.0,12121.42,33.0,12050.0,400007.0,6,50.00,50.00,0.41,0.41,-0.18,"14,680.00","10,660.00"
2025-12-29,24,BPCL,35.26,737.0,742.0,724.0,727.0,727.0,0.0,0.0,732.36,126728.0,736.0,92810651.7,374,-9.00,18.00,-1.22,2.49,-0.74,"1,065.00",375.10
2025-12-29,25,BUNGAL,26.84,578.3,601.8,578.3,590.0,590.0,0.0,0.0,589.66,43251.0,590.0,25503425.3,756,0.00,23.50,0.00,4.06,0.06,675.00,302.40
2025-12-29,26,C30MF,32.9,9.84,9.84,9.65,9.8,9.8,0.0,0.0,9.76,850.0,9.65,8296.5,3,0.15,0.19,1.55,1.97,0.40,10.71,8.65
2025-12-29,27,CBBL,45.28,1050.0,1054.0,1044.0,1044.9,1044.9,0.0,0.0,1048.01,79255.0,1039.0,83059900.4,769,5.90,10.00,0.57,0.96,-0.30,"1,144.80",821.50
2025-12-29,28,CBLD88,41.45,1245.0,1257.0,1241.1,1245.0,1245.0,0.0,0.0,1253.1,521.0,1245.0,652866.0,6,0.00,15.90,0.00,1.28,-0.65,"1,257.00","1,104.50"
2025-12-29,29,CFCL,42.32,480.0,488.0,475.0,477.0,477.0,0.0,0.0,481.27,23985.0,475.0,11543282.1,125,2.00,13.00,0.42,2.74,-0.90,701.00,445.10
2025-12-29,30,CGH,25.8,860.0,870.0,855.0,855.0,855.0,0.0,0.0,860.53,22684.0,856.0,19520217.9,151,-1.00,15.00,-0.12,1.75,-0.65,"1,150.00",800.20
2025-12-29,31,CHCL,45.39,506.0,507.7,499.0,501.5,501.5,0.0,0.0,502.32,66397.0,504.9,33352428.5,341,-3.40,8.70,-0.67,1.74,-0.16,599.60,456.00
2025-12-29,32,CHDC,38.33,2255.0,2284.8,2242.0,2243.0,2243.0,0.0,0.0,2258.01,21245.0,2253.0,47971328.8,186,-10.00,42.80,-0.44,1.91,-0.67,"2,997.90","1,550.00"
2025-12-29,33,CHL,38.49,260.0,263.0,254.3,254.3,254.3,0.0,0.0,257.68,25215.0,260.1,6497490.0,129,-5.80,8.70,-2.23,3.42,-1.33,599.70,223.40
2025-12-29,34,CIT,40.26,1837.0,1841.0,1827.0,1837.0,1837.0,0.0,0.0,1837.0,5627.0,1826.1,10336820.4,149,10.90,14.00,0.60,0.77,0.00,"2,200.00","1,730.80"
2025-12-29,35,CITY,38.6,485.0,491.0,480.0,480.0,480.0,0.0,0.0,483.55,7210.0,488.0,3486398.5,95,-8.00,11.00,-1.64,2.29,-0.74,998.40,464.00
2025-12-29,36,CIZBD90,43.51,1236.0,1303.0,1236.0,1303.0,1303.0,0.0,0.0,1296.09,251.0,1250.0,325318.6,8,53.00,67.00,4.24,5.42,0.53,"1,303.00","1,113.00"
2025-12-29,37,CKHL,36.64,638.0,661.0,637.0,650.0,650.0,0.0,0.0,644.11,4261.0,650.0,2744545.3,69,0.00,24.00,0.00,3.77,0.91,910.00,550.00
2025-12-29,38,CLI,22.55,482.5,482.5,466.0,467.9,467.9,0.0,0.0,469.75,36302.0,473.1,17052944.7,441,-5.20,16.50,-1.10,3.54,-0.40,774.90,411.00
2025-12-29,39,CMF2,27.51,9.2,9.31,9.14,9.25,9.25,0.0,0.0,9.27,4600.0,9.13,42642.0,6,0.12,0.17,1.31,1.86,-0.22,10.86,8.64
2025-12-29,40,CORBL,42.81,1509.0,1599.0,1509.0,1580.0,1580.0,0.0,0.0,1563.44,8679.0,1480.0,13569071.8,188,100.00,90.00,6.76,5.96,1.05,"2,842.30","1,240.00"
2025-12-29,41,CREST,37.15,1229.0,1229.0,1205.0,1205.0,1205.0,0.0,0.0,1212.62,6814.0,1229.0,8262807.2,190,-24.00,24.00,-1.95,1.99,-0.63,"2,458.20",302.50
2025-12-29,42,CYCL,26.61,1534.7,1660.0,1520.3,1620.0,1620.0,0.0,0.0,1550.39,5155.0,1566.0,7992239.0,107,54.00,139.70,3.45,9.19,4.30,"2,040.00","1,462.00"
2025-12-29,43,CZBIL,40.11,191.2,197.3,191.2,195.8,195.8,0.0,0.0,195.17,32473.0,195.1,6337730.0,118,0.70,6.10,0.36,3.19,0.32,240.10,183.00
2025-12-29,44,DDBL,44.05,885.0,889.9,879.9,880.0,880.0,0.0,0.0,881.13,27576.0,878.5,24298066.8,255,1.50,10.00,0.17,1.14,-0.13,"1,010.00",759.00
2025-12-29,45,DHEL,40.12,567.6,576.0,555.0,562.0,562.0,0.0,0.0,560.12,38260.0,567.6,21430224.7,859,-5.60,21.00,-0.99,3.78,0.33,640.00,402.20
2025-12-29,46,DHPL,38.2,292.2,295.9,292.2,295.9,295.9,0.0,0.0,293.77,4581.0,294.0,1345778.9,39,1.90,3.70,0.65,1.27,0.72,427.20,265.00
2025-12-29,47,DLBS,41.17,1351.0,1351.5,1304.3,1340.0,1340.0,0.0,0.0,1323.45,952.0,1325.0,1259922.4,26,15.00,47.20,1.13,3.62,1.24,"2,250.00","1,240.00"
2025-12-29,48,DOLTI,39.78,518.2,521.7,515.0,518.5,518.5,0.0,0.0,515.75,3426.0,518.2,1766969.8,50,0.30,6.70,0.06,1.30,0.53,"1,017.00",470.60
2025-12-29,49,DORDI,37.99,251.0,256.0,250.1,251.1,251.1,0.0,0.0,252.72,59036.0,252.2,14919454.4,216,-1.10,5.90,-0.44,2.36,-0.64,696.00,213.10
2025-12-29,50,EBL,41.45,660.0,663.9,655.3,657.5,657.5,0.0,0.0,659.1,23830.0,654.0,15706268.5,190,3.50,8.60,0.54,1.31,-0.24,780.60,570.00
2025-12-29,51,EBLD86,39.98,1120.0,1125.0,1120.0,1125.0,1125.0,0.0,0.0,1121.75,77.0,1108.0,86375.0,3,17.00,5.00,1.53,0.45,0.29,"1,136.20","1,010.20"
2025-12-29,52,EBLD91,37.72,1112.0,1121.0,1112.0,1121.0,1121.0,0.0,0.0,1120.95,110.0,1112.0,123305.0,4,9.00,9.00,0.81,0.81,0.00,"1,142.40",994.40
2025-12-29,53,EBLEB89,41.85,1095.0,1096.0,1095.0,1096.0,1096.0,0.0,0.0,1095.67,75.0,1085.0,82175.0,3,11.00,1.00,1.01,0.09,0.03,"1,117.00",996.10
2025-12-29,54,EDBL,38.56,580.1,590.0,577.0,589.0,589.0,0.0,0.0,580.41,6214.0,585.0,3606682.0,40,4.00,13.00,0.68,2.25,1.46,838.20,530.70
2025-12-29,55,EHPL,30.16,406.0,410.0,396.0,398.0,398.0,0.0,0.0,401.17,24441.0,405.0,9805102.4,171,-7.00,14.00,-1.73,3.54,-0.80,937.00,385.00
2025-12-29,56,ENL,40.36,888.0,905.0,888.0,903.5,903.5,0.0,0.0,901.61,1144.0,902.0,1031440.5,23,1.50,17.00,0.17,1.91,0.21,"1,452.00",866.00
2025-12-29,57,FMDBL,36.6,790.0,795.9,782.6,782.6,782.6,0.0,0.0,785.74,11126.0,791.0,8742096.9,73,-8.40,13.30,-1.06,1.70,-0.40,"1,038.80",712.00
