date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-01-13,1,ACLBSL,37.81,1035.0,1035.0,1014.3,1021.2,1021.2,0.0,0.0,1022.71,1490.0,1025.0,1523844.3,37,-3.80,20.70,-0.37,2.04,-0.15,"1,491.00",585.00
2025-01-13,2,ADBL,36.5,297.0,297.0,290.5,293.9,293.9,0.0,0.0,292.25,38612.0,296.3,11284248.1,301,-2.40,6.50,-0.81,2.24,0.56,428.40,223.00
2025-01-13,3,ADBLD83,40.18,1105.0,1105.0,1100.0,1100.0,1100.0,0.0,0.0,1100.14,1707.0,1149.9,1877939.0,4,-49.90,5.00,-4.34,0.45,-0.01,"1,160.00",966.00
2025-01-13,4,AHL,47.36,772.0,772.0,750.0,750.6,750.6,0.0,0.0,758.91,17174.0,772.0,13033509.6,149,-21.40,22.00,-2.77,2.93,-1.11,904.00,392.30
2025-01-13,5,AHPC,32.98,249.0,252.0,248.2,248.8,248.8,0.0,0.0,249.51,117404.0,251.0,29293318.0,376,-2.20,3.80,-0.88,1.53,-0.28,349.00,149.00
2025-01-13,6,AKJCL,30.13,200.0,200.0,196.2,196.5,196.5,0.0,0.0,197.47,91436.0,199.0,18055876.4,355,-2.50,3.80,-1.26,1.94,-0.49,274.90,150.90
2025-01-13,7,AKPL,31.35,235.0,238.0,232.3,234.0,234.0,0.0,0.0,234.33,106370.0,235.0,24926184.8,281,-1.00,5.70,-0.43,2.45,-0.14,326.00,157.20
2025-01-13,8,ALBSL,45.93,795.0,824.0,795.0,804.0,804.0,0.0,0.0,802.5,3701.0,808.0,2970040.6,69,-4.00,29.00,-0.50,3.65,0.19,"1,177.00",616.90
2025-01-13,9,ALICL,32.47,717.0,719.1,707.5,707.5,707.5,0.0,0.0,714.71,22283.0,726.0,15925963.8,105,-18.50,11.60,-2.55,1.64,-1.02,825.00,523.00
2025-01-13,10,ANLB,25.66,6124.9,6124.9,5624.9,5624.9,5624.9,0.0,0.0,5702.28,168.0,6249.8,957983.6,14,-624.90,500.00,-10.00,8.89,-1.38,"6,735.00","1,749.00"
