date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-12-16,1,ACLBSL,27.71,939.0,949.0,935.1,948.9,948.9,0.0,0.0,941.48,2262.0,939.0,2129619.6,50,9.90,13.90,1.05,1.49,0.78,"1,284.90",934.00
2025-12-16,2,ADBL,34.43,292.0,292.9,288.0,292.9,292.9,0.0,0.0,291.12,14912.0,289.4,4341221.6,145,3.50,4.90,1.21,1.70,0.61,344.90,272.30
2025-12-16,3,AHL,28.47,595.0,595.0,580.0,587.0,587.0,0.0,0.0,584.6,14683.0,590.0,8583658.5,150,-3.00,15.00,-0.51,2.59,0.41,891.00,577.40
2025-12-16,4,AHPC,41.4,279.9,282.0,277.0,281.0,281.0,0.0,0.0,279.38,63161.0,278.0,17645741.4,249,3.00,5.00,1.08,1.81,0.58,334.00,239.30
2025-12-16,5,AKJCL,25.54,185.0,186.0,183.0,184.0,184.0,0.0,0.0,184.24,38330.0,183.0,7062089.7,165,1.00,3.00,0.55,1.64,-0.13,233.50,172.90
2025-12-16,6,AKPL,41.67,240.5,245.3,240.1,245.0,245.0,0.0,0.0,243.7,95341.0,240.4,23234443.1,267,4.60,5.20,1.91,2.17,0.53,306.50,216.10
2025-12-16,7,ALBSL,32.48,1082.9,1120.0,1079.0,1095.0,1095.0,0.0,0.0,1089.24,20486.0,1105.0,22314118.1,202,-10.00,41.00,-0.90,3.80,0.53,"1,237.90",771.00
2025-12-16,8,ALICL,34.8,474.0,488.8,462.1,468.2,468.2,0.0,0.0,471.1,30196.0,465.0,14225201.7,196,3.20,26.70,0.69,5.78,-0.62,831.00,430.00
2025-12-16,9,ANLB,25.97,6028.4,6150.0,6028.4,6150.0,6150.0,0.0,0.0,6077.05,417.0,6150.0,2534131.6,23,0.00,121.60,0.00,2.02,1.19,"6,800.00","4,673.00"
2025-12-16,10,API,37.34,285.5,289.0,285.5,288.4,288.4,0.0,0.0,287.56,93849.0,285.5,26986829.6,290,2.90,3.50,1.02,1.23,0.29,335.00,246.20
2025-12-16,11,AVYAN,24.02,949.7,975.0,949.7,958.0,958.0,0.0,0.0,961.74,1234.0,969.0,1186788.8,44,-11.00,25.30,-1.14,2.66,-0.39,"1,306.80",906.00
2025-12-16,12,BANDIPUR,31.27,765.0,780.0,765.0,775.0,775.0,0.0,0.0,775.17,61768.0,765.0,47880768.5,2971,10.00,15.00,1.31,1.96,-0.02,837.00,285.00
2025-12-16,13,BARUN,36.49,316.0,325.0,316.0,325.0,325.0,0.0,0.0,322.23,84224.0,318.0,27139818.1,340,7.00,9.00,2.20,2.85,0.85,589.00,292.10
2025-12-16,14,BBC,24.37,4792.1,4871.9,4792.1,4863.0,4863.0,0.0,0.0,4841.06,177.0,4869.9,856868.0,15,-6.90,79.80,-0.14,1.67,0.45,"6,661.60","4,480.00"
2025-12-16,15,BEDC,31.22,545.0,555.9,540.0,544.0,544.0,0.0,0.0,547.43,4823.0,542.1,2640248.1,91,1.90,15.90,0.35,2.94,-0.63,"1,080.00",501.00
2025-12-16,16,BFC,23.55,473.8,473.8,461.0,461.0,461.0,0.0,0.0,465.09,18894.0,464.8,8787470.0,80,-3.80,12.80,-0.82,2.78,-0.89,775.00,411.50
2025-12-16,17,BGWT,26.83,771.0,780.0,771.0,779.0,779.0,0.0,0.0,777.16,876.0,783.9,680790.0,23,-4.90,9.00,-0.63,1.17,0.24,"1,241.00",750.10
2025-12-16,18,BHCL,25.44,501.0,510.0,496.0,508.2,508.2,0.0,0.0,503.24,74667.0,507.9,37575563.0,1087,0.30,14.00,0.06,2.82,0.98,625.70,292.10
2025-12-16,19,BHDC,22.65,480.0,487.0,475.7,486.0,486.0,0.0,0.0,483.21,20492.0,480.0,9901841.0,153,6.00,11.30,1.25,2.38,0.58,760.20,426.00
