date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-12-17,1,ACLBSL,30.3,949.0,949.0,939.0,939.0,939.0,0.0,0.0,940.55,3990.0,948.9,3752782.3,68,-9.90,10.00,-1.04,1.06,-0.16,"1,284.90",934.00
2025-12-17,2,ADBL,38.66,294.9,296.0,292.0,294.0,294.0,0.0,0.0,293.81,26518.0,292.9,7791190.3,134,1.10,4.00,0.38,1.37,0.07,344.90,272.30
2025-12-17,3,AHL,24.68,577.1,598.0,577.1,580.2,580.2,0.0,0.0,583.24,7844.0,587.0,4574938.7,100,-6.80,20.90,-1.16,3.62,-0.52,891.00,577.10
2025-12-17,4,AHPC,40.83,280.5,284.0,280.1,281.5,281.5,0.0,0.0,281.29,59127.0,281.0,16631591.7,196,0.50,3.90,0.18,1.39,0.08,334.00,239.30
2025-12-17,5,AKJCL,32.47,184.1,185.0,183.2,183.2,183.2,0.0,0.0,184.04,56720.0,184.0,10438783.7,175,-0.80,1.80,-0.43,0.98,-0.46,233.50,172.90
2025-12-17,6,AKPL,37.28,245.0,246.1,244.0,245.0,245.0,0.0,0.0,245.2,59838.0,245.0,14672477.0,184,0.00,2.10,0.00,0.86,-0.08,306.50,216.10
2025-12-17,7,ALBSL,36.07,1073.1,1097.0,1073.1,1096.6,1096.6,0.0,0.0,1088.76,19527.0,1095.0,21260235.5,140,1.60,23.90,0.15,2.23,0.71,"1,237.90",771.00
2025-12-17,8,ALICL,35.65,474.0,474.0,466.0,469.5,469.5,0.0,0.0,467.76,30376.0,468.2,14208749.4,171,1.30,8.00,0.28,1.72,0.37,831.00,430.00
2025-12-17,9,ANLB,39.54,6100.0,6180.0,6061.0,6180.0,6180.0,0.0,0.0,6083.12,178.0,6150.0,1082795.0,14,30.00,119.00,0.49,1.96,1.57,"6,800.00","4,673.00"
2025-12-17,10,API,41.46,289.9,291.0,288.0,290.0,290.0,0.0,0.0,289.48,97365.0,288.4,28184788.4,332,1.60,3.00,0.55,1.04,0.18,335.00,246.20
2025-12-17,11,AVYAN,24.24,939.0,977.1,939.0,955.0,955.0,0.0,0.0,957.78,1395.0,958.0,1336108.4,46,-3.00,38.10,-0.31,4.06,-0.29,"1,306.80",906.00
2025-12-17,12,BANDIPUR,31.53,775.0,789.0,771.6,774.0,774.0,0.0,0.0,779.16,61887.0,775.0,48219584.7,2376,-1.00,17.40,-0.13,2.26,-0.67,837.00,285.00
2025-12-17,13,BARUN,35.24,325.0,329.0,320.0,322.9,322.9,0.0,0.0,323.89,51579.0,325.0,16706049.1,259,-2.10,9.00,-0.65,2.81,-0.31,589.00,292.10
2025-12-17,14,BBC,24.76,4860.0,4890.0,4849.0,4849.1,4849.1,0.0,0.0,4856.5,174.0,4863.0,845031.0,15,-13.90,41.00,-0.29,0.85,-0.15,"6,661.60","4,480.00"
2025-12-17,15,BEDC,32.62,548.0,551.0,541.0,544.0,544.0,0.0,0.0,544.67,10301.0,544.0,5610647.8,129,0.00,10.00,0.00,1.85,-0.12,"1,080.00",501.00
2025-12-17,16,BFC,26.26,470.0,476.1,466.1,468.3,468.3,0.0,0.0,471.33,32291.0,461.0,15219844.3,144,7.30,10.00,1.58,2.15,-0.65,765.00,411.50
2025-12-17,17,BGWT,32.46,794.0,809.0,779.0,785.0,785.0,0.0,0.0,789.37,4085.0,779.0,3224560.0,76,6.00,30.00,0.77,3.85,-0.56,"1,241.00",750.10
2025-12-17,18,BHCL,24.6,505.0,515.1,497.3,497.3,497.3,0.0,0.0,501.89,69193.0,508.2,34727285.6,987,-10.90,17.80,-2.14,3.58,-0.92,625.70,292.10
2025-12-17,19,BHDC,25.25,492.0,492.0,483.6,484.1,484.1,0.0,0.0,486.58,35312.0,486.0,17182162.8,184,-1.90,8.40,-0.39,1.74,-0.51,760.20,426.00
2025-12-17,20,BHL,42.78,178.5,179.0,176.6,177.7,177.7,0.0,0.0,177.66,86068.0,177.5,15290866.2,397,0.20,2.40,0.11,1.36,0.02,410.00,164.00
2025-12-17,21,BHPL,32.75,610.6,610.6,560.7,560.7,560.7,0.0,0.0,560.84,52116.0,623.0,29228872.2,332,-62.30,49.90,-10.00,8.90,-0.03,"1,308.40",560.70
2025-12-17,22,BNHC,30.44,445.0,445.0,440.0,443.0,443.0,0.0,0.0,442.65,5750.0,442.0,2545220.0,60,1.00,5.00,0.23,1.14,0.08,608.00,393.00
2025-12-17,23,BNT,29.73,12199.0,12200.0,11800.6,12036.6,12036.6,0.0,0.0,12087.13,166.0,12000.0,2006463.8,15,36.60,399.40,0.31,3.38,-0.42,"14,680.00","10,660.00"
2025-12-17,24,BOKD86,32.45,1102.0,1102.0,1102.0,1102.0,1102.0,0.0,0.0,1102.0,25.0,1100.0,27550.0,1,2.00,0.00,0.18,0.00,0.00,"1,137.00","1,005.50"
