date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-10-09,1,ACLBSL,28.65,1028.0,1059.0,1010.0,1010.3,1010.3,0.0,0.0,1019.96,2574.0,1008.0,2625380.1,55,2.30,49.00,0.23,4.85,-0.96,"1,284.90",950.00
2025-10-09,2,ADBL,26.32,318.0,324.0,314.0,317.0,317.0,0.0,0.0,318.23,44571.0,312.4,14183868.3,227,4.60,10.00,1.47,3.18,-0.39,400.00,272.30
2025-10-09,3,AHL,30.89,620.0,669.0,607.6,667.0,667.0,0.0,0.0,627.74,5383.0,632.0,3379129.2,96,35.00,61.40,5.54,10.11,5.89,891.00,577.40
2025-10-09,4,AHPC,29.05,287.2,297.0,285.0,287.0,287.0,0.0,0.0,289.68,238019.0,281.6,68948454.1,639,5.40,12.00,1.92,4.21,-0.93,334.00,239.30
2025-10-09,5,AKJCL,26.16,192.7,203.0,191.1,192.5,192.5,0.0,0.0,195.44,66829.0,189.0,13061004.2,286,3.50,11.90,1.85,6.23,-1.53,233.50,172.90
2025-10-09,6,AKPL,25.17,252.5,263.0,248.5,250.0,250.0,0.0,0.0,253.71,136206.0,247.6,34556729.4,454,2.40,14.50,0.97,5.84,-1.48,306.50,216.10
2025-10-09,7,ALBSL,29.99,1020.0,1040.4,1000.0,1020.0,1020.0,0.0,0.0,1010.1,17907.0,1000.0,18087793.7,122,20.00,40.40,2.00,4.04,0.97,"1,097.00",771.00
2025-10-09,8,ALICL,26.47,463.0,481.0,456.6,461.8,461.8,0.0,0.0,460.9,16419.0,454.0,7567569.0,107,7.80,24.40,1.72,5.34,0.19,831.00,444.60
2025-10-09,9,ANLB,42.54,6448.4,6448.4,6100.0,6358.0,6358.0,0.0,0.0,6171.89,949.0,6580.0,5857124.3,72,-222.00,348.40,-3.37,5.71,2.93,"6,735.00","4,146.00"
2025-10-09,10,API,26.83,285.6,300.0,281.0,282.1,282.1,0.0,0.0,287.12,114738.0,280.0,32943659.0,485,2.10,19.00,0.75,6.76,-1.78,335.00,246.20
2025-10-09,11,AVYAN,23.2,994.5,994.5,975.0,975.0,975.0,0.0,0.0,981.83,1565.0,975.0,1536562.9,46,0.00,19.50,0.00,2.00,-0.70,"1,306.80",882.00
2025-10-09,12,BARUN,27.47,322.3,335.2,320.0,325.0,325.0,0.0,0.0,329.05,51162.0,316.0,16834712.8,257,9.00,15.20,2.85,4.75,-1.25,589.00,292.10
2025-10-09,13,BBC,29.23,4983.0,5180.0,4810.0,4810.0,4810.0,0.0,0.0,4917.65,1923.0,4886.0,9456636.0,80,-76.00,370.00,-1.56,7.69,-2.24,"7,247.00","4,057.20"
2025-10-09,14,BEDC,31.27,631.2,667.0,579.6,609.0,609.0,0.0,0.0,606.25,47500.0,644.0,28797098.1,368,-35.00,87.40,-5.43,15.08,0.45,"1,080.00",448.00
2025-10-09,15,BFC,26.61,452.8,485.0,452.0,455.0,455.0,0.0,0.0,464.44,13321.0,444.0,6186847.7,137,11.00,33.00,2.48,7.30,-2.08,951.60,411.50
2025-10-09,16,BGWT,27.17,820.0,851.0,800.0,820.0,820.0,0.0,0.0,816.62,7228.0,820.0,5902495.8,102,0.00,51.00,0.00,6.38,0.41,"1,241.00",800.00
2025-10-09,17,BHCL,22.54,440.0,460.0,430.1,432.0,432.0,0.0,0.0,440.88,26983.0,432.0,11896247.4,735,0.00,29.90,0.00,6.95,-2.06,625.70,292.10
2025-10-09,18,BHDC,41.27,571.2,616.0,539.1,606.0,606.0,0.0,0.0,568.55,132877.0,560.0,75547821.4,405,46.00,76.90,8.21,14.26,6.18,760.20,426.00
2025-10-09,19,BHL,24.85,184.6,195.7,184.6,186.0,186.0,0.0,0.0,188.34,127902.0,181.0,24088865.2,635,5.00,11.10,2.76,6.01,-1.26,520.00,164.00
2025-10-09,20,BHPL,23.8,706.0,748.0,696.0,696.2,696.2,0.0,0.0,715.24,1308.0,692.2,935533.0,47,4.00,52.00,0.58,7.47,-2.73,"1,308.40",651.00
2025-10-09,21,BNHC,27.76,477.3,480.0,461.3,465.0,465.0,0.0,0.0,469.55,15121.0,468.0,7100009.9,89,-3.00,18.70,-0.64,4.05,-0.98,608.00,450.00
2025-10-09,22,BNT,30.45,11130.2,11299.0,10951.0,11200.0,11200.0,0.0,0.0,11181.6,170.0,10912.0,1900872.0,16,288.00,348.00,2.64,3.18,0.16,"15,289.70","10,900.00"
2025-10-09,23,BPCL,27.67,714.0,757.5,695.0,699.9,699.9,0.0,0.0,712.74,116488.0,700.0,83026179.6,424,-0.10,62.50,-0.01,8.99,-1.84,"1,065.00",375.10
2025-10-09,24,C30MF,15.22,9.09,9.1,9.09,9.1,9.1,0.0,0.0,9.1,300.0,9.15,2729.0,3,-0.05,0.01,-0.55,0.11,0.04,10.71,8.65
2025-10-09,25,CBBL,23.97,1013.0,1050.0,995.0,998.0,998.0,0.0,0.0,1005.62,25151.0,994.0,25292310.0,250,4.00,55.00,0.40,5.53,-0.76,"1,144.80",821.50
2025-10-09,26,CBLD88,29.31,1200.0,1200.0,1180.0,1180.0,1180.0,0.0,0.0,1199.39,825.0,1201.0,989500.0,2,-21.00,20.00,-1.75,1.69,-1.64,"1,254.20","1,080.20"
2025-10-09,27,CCBD88,41.29,1229.0,1229.0,1229.0,1229.0,1229.0,0.0,0.0,1229.0,50.0,1229.0,61450.0,1,0.00,0.00,0.00,0.00,0.00,"1,254.00","1,074.70"
2025-10-09,28,CFCL,26.38,488.5,526.9,482.0,483.0,483.0,0.0,0.0,493.53,8028.0,479.0,3962067.8,71,4.00,44.90,0.84,9.32,-2.18,745.90,445.10
2025-10-09,29,CGH,29.91,877.2,925.0,864.0,864.0,864.0,0.0,0.0,875.61,26288.0,860.0,23018144.8,201,4.00,61.00,0.47,7.06,-1.34,"1,150.00",803.00
2025-10-09,30,CHCL,26.28,499.8,518.9,495.0,495.9,495.9,0.0,0.0,498.5,35740.0,490.0,17816296.5,209,5.90,23.90,1.20,4.83,-0.52,610.00,456.00
