date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-07-29,1,ACLBSL,31.84,945.7,945.7,925.0,926.2,926.2,0.0,0.0,926.03,2437.0,945.7,2256744.7,27,-19.50,20.70,-2.06,2.24,0.02,965.44,968.33,"1,240.00",827.90
2026-07-29,2,ADBL,38.2,323.0,323.0,318.1,321.1,321.1,0.0,0.0,320.65,114885.0,320.5,36838064.4,179,0.60,4.90,0.19,1.54,0.14,310.20,308.24,344.90,285.20
2026-07-29,3,AHL,30.53,410.4,430.0,410.4,417.0,417.0,0.0,0.0,419.48,2839.0,420.0,1190906.0,44,-3.00,19.60,-0.71,4.78,-0.59,502.00,530.62,699.00,405.00
2026-07-29,4,AHPC,24.6,270.0,270.0,267.6,268.3,268.3,0.0,0.0,268.65,34746.0,270.0,9334426.1,145,-1.70,2.40,-0.63,0.90,-0.13,280.54,279.14,325.00,250.10
2026-07-29,5,AKJCL,24.98,355.0,372.0,355.0,365.0,365.0,0.0,0.0,366.2,235655.0,369.0,86297367.1,465,-4.00,17.00,-1.08,4.79,-0.33,375.88,315.61,461.40,172.90
2026-07-29,6,AKPL,25.4,257.0,261.9,256.6,258.9,258.9,0.0,0.0,258.07,34071.0,258.5,8792616.1,150,0.40,5.30,0.15,2.07,0.32,270.45,262.33,317.00,227.50
2026-07-29,7,ALBSL,20.63,1050.0,1130.0,1050.0,1084.9,1084.9,0.0,0.0,1079.45,601.0,1094.0,648750.6,39,-9.10,80.00,-0.83,7.62,0.50,"1,124.93","1,116.85","1,334.00",921.00
2026-07-29,8,ALICL,24.29,455.7,455.7,429.2,436.0,436.0,0.0,0.0,434.06,7937.0,434.0,3445162.6,61,2.00,26.50,0.46,6.17,0.44,454.95,459.99,540.00,413.40
2026-07-29,9,ANLB,29.07,5600.0,5658.0,5600.0,5658.0,5658.0,0.0,0.0,5609.72,2170.0,5735.0,12173097.0,67,-77.00,58.00,-1.34,1.04,0.85,"6,197.55","6,189.38","7,560.00","5,450.00"
2026-07-29,10,APHL,42.6,825.6,872.9,825.6,846.0,846.0,0.0,0.0,855.1,17484.0,869.0,14950505.7,301,-23.00,47.30,-2.65,5.73,-1.08,0.00,0.00,"1,053.40",299.70
2026-07-29,11,API,24.9,336.5,339.0,334.0,335.0,335.0,0.0,0.0,335.99,110350.0,336.5,37076200.3,369,-1.50,5.00,-0.45,1.50,-0.29,335.40,319.19,370.00,258.80
2026-07-29,12,AVYAN,28.57,1037.2,1040.1,1013.0,1013.0,1013.0,0.0,0.0,1027.24,3775.0,1042.0,3877819.5,64,-29.00,27.10,-2.78,2.68,-1.41,"1,080.00","1,043.88","1,366.00",906.00
2026-07-29,13,BANDIPUR,27.25,721.1,742.7,721.1,722.2,722.2,0.0,0.0,731.85,13667.0,730.0,10002163.2,249,-7.80,21.60,-1.07,3.00,-1.34,862.74,0.00,"1,233.00",285.00
2026-07-29,14,BARUN,24.76,325.0,333.0,323.0,325.9,325.9,0.0,0.0,326.17,14537.0,324.2,4741486.7,84,1.70,10.00,0.52,3.10,-0.08,348.09,341.93,409.90,292.10
2026-07-29,15,BBC,38.06,4210.0,4328.0,4210.0,4300.0,4300.0,0.0,0.0,4287.25,150.0,4300.0,643088.0,15,0.00,118.00,0.00,2.80,0.30,"4,650.11","4,729.60","6,120.00","4,021.10"
