date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-07-22,1,ACLBSL,46.48,1127.0,1177.0,1126.0,1164.18,1158.0,6.18,0.01,1159.96,10029.0,1126.37,11633201.5,214,37.81,51.00,3.36,4.53,0.36,"1,468.00",965.00
2025-07-22,2,ADBL,40.01,338.0,341.9,334.0,339.57,339.6,0.03,0.0,339.31,142308.0,332.11,48286338.8,612,7.46,7.90,2.25,2.37,0.08,428.40,272.30
2025-07-22,3,ADBLD83,34.33,1110.0,1110.0,1110.0,1110.0,1110.0,0.0,0.0,1110.0,794.0,1110.0,881340.0,3,0.00,0.00,0.00,0.00,0.00,"1,160.00","1,046.00"
2025-07-22,4,AHL,50.69,656.0,668.0,630.7,649.68,656.0,6.32,0.01,648.45,20070.0,643.56,13014352.1,190,6.12,37.30,0.95,5.91,0.19,904.00,560.10
2025-07-22,5,AHPC,51.44,305.4,308.5,298.0,304.98,304.6,0.38,0.0,303.8,648691.0,299.45,197073779.3,1539,5.53,10.50,1.85,3.52,0.39,349.00,199.00
2025-07-22,6,AKJCL,49.45,215.0,220.0,215.0,218.31,218.0,0.31,0.0,217.79,365860.0,215.16,79681665.9,1013,3.15,5.00,1.46,2.33,0.24,274.90,187.20
2025-07-22,7,AKPL,47.72,268.0,272.0,263.8,269.08,268.5,0.58,0.0,268.78,385744.0,264.89,103680246.1,1006,4.19,8.20,1.58,3.11,0.11,326.00,196.20
2025-07-22,8,ALBSL,45.03,906.1,954.9,906.1,945.35,948.0,2.65,0.0,941.63,21291.0,908.5,20048253.3,337,36.85,48.80,4.06,5.39,0.39,"1,177.00",771.00
2025-07-22,9,ALICL,48.51,519.9,545.0,519.9,541.77,543.8,2.03,0.0,534.07,110093.0,519.91,58797010.0,559,21.86,25.10,4.20,4.83,1.42,831.00,484.80
2025-07-22,10,ANLB,41.1,5489.0,5760.0,5489.0,5717.05,5660.0,57.05,0.01,5609.12,2296.0,5600.29,12878543.8,102,116.76,271.00,2.08,4.94,1.89,"6,735.00","2,616.70"
2025-07-22,11,API,52.1,304.0,314.1,304.0,312.07,313.0,0.93,0.0,310.14,806211.0,302.99,250040648.4,1985,9.08,10.10,3.00,3.32,0.62,390.00,207.80
2025-07-22,12,AVYAN,47.25,1185.0,1210.7,1156.4,1197.21,1179.0,18.21,0.02,1186.75,23224.0,1182.54,27561124.8,279,14.67,54.30,1.24,4.70,0.87,"1,306.80",832.00
2025-07-22,13,BARUN,27.41,400.0,416.0,400.0,405.63,406.0,0.37,0.0,407.45,186485.0,404.61,75982862.3,953,1.02,16.00,0.25,4.00,-0.45,589.00,296.10
2025-07-22,14,BBC,50.31,5532.0,5532.0,5322.0,5514.45,5515.0,0.55,0.0,5441.07,1873.0,5461.33,10191116.1,91,53.12,210.00,0.97,3.95,1.33,"7,247.00","4,010.00"
