date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-07-22,1,ACLBSL,38.63,960.9,960.9,940.2,952.0,952.0,0.0,0.0,945.4,541.0,966.8,511462.6,23,-14.80,20.70,-1.53,2.20,0.69,966.29,969.44,"1,240.00",827.90
2026-07-22,2,ADBL,46.99,314.0,320.0,310.2,318.9,318.9,0.0,0.0,317.22,79891.0,314.0,25343030.0,246,4.90,9.80,1.56,3.16,0.53,309.63,307.94,344.90,285.20
2026-07-22,3,AHL,35.95,445.0,445.0,430.8,430.8,430.8,0.0,0.0,433.45,1222.0,435.0,529671.0,32,-4.20,14.20,-0.97,3.30,-0.61,507.52,536.59,700.00,405.00
2026-07-22,4,AHPC,40.66,278.0,278.0,274.0,275.0,275.0,0.0,0.0,275.16,53003.0,278.0,14584223.3,227,-3.00,4.00,-1.08,1.46,-0.06,280.48,279.23,334.00,250.10
2026-07-22,5,AKJCL,43.81,385.0,394.6,381.0,388.0,388.0,0.0,0.0,387.08,599402.0,385.0,232015807.7,1242,3.00,13.60,0.78,3.57,0.24,370.77,310.41,461.40,172.90
2026-07-22,6,AKPL,46.63,263.0,269.0,261.1,267.0,267.0,0.0,0.0,264.71,135933.0,265.0,35982215.0,263,2.00,7.90,0.75,3.03,0.86,270.39,261.69,317.00,227.50
2026-07-22,7,ALBSL,38.29,1060.0,1163.9,1060.0,1101.0,1101.0,0.0,0.0,1098.83,2604.0,1099.1,2861365.9,97,1.90,103.90,0.17,9.80,0.20,"1,129.27","1,113.14","1,334.00",906.10
2026-07-22,8,ALICL,40.26,440.0,444.9,432.0,438.0,438.0,0.0,0.0,436.52,13723.0,442.0,5990316.3,81,-4.00,12.90,-0.90,2.99,0.34,457.09,460.36,550.00,413.40
2026-07-22,9,ANLB,26.13,5650.0,6545.0,5650.0,5841.0,5841.0,0.0,0.0,5719.07,1491.0,5845.0,8527137.8,75,-4.00,895.00,-0.07,15.84,2.09,"6,202.97","6,200.15","7,560.00","5,450.00"
2026-07-22,10,APHL,38.29,827.1,853.0,826.4,837.5,837.5,0.0,0.0,835.67,19020.0,840.2,15894464.9,338,-2.70,26.60,-0.32,3.22,0.22,0.00,0.00,"1,053.40",299.70
2026-07-22,11,API,42.62,340.0,345.7,339.0,343.5,343.5,0.0,0.0,342.96,229342.0,344.0,78654235.6,539,-0.50,6.70,-0.15,1.98,0.16,333.85,317.40,370.00,258.80
2026-07-22,12,AVYAN,43.4,1076.3,1090.0,1055.0,1074.0,1074.0,0.0,0.0,1071.12,4771.0,1096.0,5110302.0,59,-22.00,35.00,-2.01,3.32,0.27,"1,076.34","1,041.20","1,366.00",906.00
2026-07-22,13,BANDIPUR,37.35,740.0,750.0,735.0,739.1,739.1,0.0,0.0,742.55,20471.0,745.0,15200698.0,320,-5.90,15.00,-0.79,2.04,-0.47,874.04,0.00,"1,233.00",285.00
2026-07-22,14,BARUN,42.27,330.0,339.0,327.0,335.0,335.0,0.0,0.0,334.08,29119.0,339.0,9728193.8,137,-4.00,12.00,-1.18,3.67,0.27,349.03,341.48,421.00,292.10
2026-07-22,15,BBC,43.9,4300.0,4400.0,4256.0,4268.0,4268.0,0.0,0.0,4323.38,545.0,4390.0,2356241.0,21,-122.00,144.00,-2.78,3.38,-1.30,"4,672.79","4,743.01","6,120.00","4,021.10"
2026-07-22,16,BEDC,36.11,330.0,335.0,327.1,330.1,330.1,0.0,0.0,331.65,17694.0,334.5,5868292.5,134,-4.40,7.90,-1.32,2.42,-0.47,428.39,472.71,872.00,303.10
2026-07-22,17,BFC,46.58,530.0,558.0,530.0,535.1,535.1,0.0,0.0,545.93,289485.0,530.0,158039510.5,1267,5.10,28.00,0.96,5.28,-2.02,484.80,478.49,579.90,411.50
2026-07-22,18,BGWT,42.61,601.0,619.0,596.0,613.0,613.0,0.0,0.0,604.7,3182.0,614.9,1924169.7,54,-1.90,23.00,-0.31,3.86,1.35,698.73,724.15,"1,049.00",516.10
2026-07-22,19,BHCL,37.71,510.0,520.0,495.0,499.0,499.0,0.0,0.0,500.66,39493.0,505.0,19772590.2,289,-6.00,25.00,-1.19,5.05,-0.33,560.05,532.39,699.00,292.10
2026-07-22,20,BHDC,41.05,437.4,446.9,437.4,445.0,445.0,0.0,0.0,442.94,5850.0,447.1,2591212.2,60,-2.10,9.50,-0.47,2.17,0.46,467.95,477.85,706.00,412.00
2026-07-22,21,BHL,42.17,220.0,220.0,214.1,215.5,215.5,0.0,0.0,216.25,77294.0,217.5,16715140.7,349,-2.00,5.90,-0.92,2.76,-0.35,217.08,204.42,264.40,164.00
2026-07-22,22,BHPL,43.29,490.0,502.0,490.0,495.9,495.9,0.0,0.0,493.39,7959.0,504.0,3926920.0,53,-8.10,12.00,-1.61,2.45,0.51,542.26,568.60,896.90,449.00
2026-07-22,23,BJHL,37.38,794.0,794.0,750.6,756.1,756.1,0.0,0.0,760.69,8067.0,771.0,6136476.8,128,-14.90,43.40,-1.93,5.78,-0.61,0.00,0.00,"1,305.00",270.10
2026-07-22,24,BNHC,42.41,290.4,296.9,290.4,296.9,296.9,0.0,0.0,294.21,26437.0,294.0,7778039.2,171,2.90,6.50,0.99,2.24,0.91,363.90,388.50,613.80,261.30
2026-07-22,25,BNL,33.79,15200.0,15200.0,15200.0,15200.0,15200.0,0.0,0.0,15200.0,30.0,15200.0,456000.0,2,0.00,0.00,0.00,0.00,0.00,"15,590.84","16,032.47","17,500.00","13,872.80"
2026-07-22,26,BNT,27.6,11573.0,11573.0,11571.0,11571.0,11571.0,0.0,0.0,11572.0,30.0,11621.0,347160.0,3,-50.00,2.00,-0.43,0.02,-0.01,"11,751.27","11,664.14","13,205.00","10,660.00"
2026-07-22,27,BOKD86KA,28.67,1169.0,1169.0,1134.0,1134.0,1134.0,0.0,0.0,1143.26,136.0,1169.0,155484.0,2,-35.00,35.00,-2.99,3.09,-0.82,0.00,0.00,"1,247.00","1,130.00"
2026-07-22,28,BPCL,41.68,640.0,677.9,640.0,671.8,671.8,0.0,0.0,666.15,24712.0,673.0,16462005.5,100,-1.20,37.90,-0.18,5.92,0.84,700.88,709.92,"1,065.00",612.00
2026-07-22,29,BUNGAL,38.67,607.0,723.0,607.0,705.0,705.0,0.0,0.0,641.33,65595.0,638.0,42068325.8,396,67.00,116.00,10.50,19.11,9.03,659.76,0.00,895.00,302.40
2026-07-22,30,C30MF,40.99,10.0,10.1,10.0,10.09,10.09,0.0,0.0,10.07,13380.0,10.01,134764.2,9,0.08,0.10,0.80,1.00,0.18,9.96,9.71,10.71,8.70
2026-07-22,31,CBBL,42.57,936.0,939.0,927.0,933.5,933.5,0.0,0.0,932.19,19042.0,935.0,17750689.6,128,-1.50,12.00,-0.16,1.29,0.14,924.42,946.35,"1,144.80",882.00
2026-07-22,32,CFCL,42.56,602.0,650.8,602.0,641.3,641.3,0.0,0.0,642.97,113396.0,633.0,72910401.4,444,8.30,48.80,1.31,8.11,-0.26,559.94,534.38,695.00,445.10
2026-07-22,33,CGH,36.89,794.8,794.8,776.5,785.0,785.0,0.0,0.0,780.99,6372.0,783.2,4976480.7,62,1.80,18.30,0.23,2.36,0.51,819.22,836.47,"1,150.00",748.00
2026-07-22,34,CHCL,44.08,493.0,496.0,480.1,495.2,495.2,0.0,0.0,491.04,44279.0,495.9,21742810.8,204,-0.70,15.90,-0.14,3.31,0.84,483.70,485.25,584.00,450.30
2026-07-22,35,CHDC,39.08,2160.0,2224.7,2160.0,2219.0,2219.0,0.0,0.0,2216.14,10269.0,2209.0,22757550.7,115,10.00,64.70,0.45,3.00,0.13,"2,336.37","2,316.51","2,997.90","1,967.00"
2026-07-22,36,CHL,41.97,273.0,274.0,268.0,268.0,268.0,0.0,0.0,269.19,12159.0,273.5,3273089.6,67,-5.50,6.00,-2.01,2.24,-0.44,287.32,276.76,342.00,223.40
2026-07-22,37,CIT,40.13,1730.5,1732.0,1710.0,1724.0,1724.0,0.0,0.0,1720.39,4080.0,1730.1,7019182.5,117,-6.10,22.00,-0.35,1.29,0.21,"1,764.77","1,788.12","2,168.00","1,630.30"
2026-07-22,38,CITY,41.57,375.6,400.0,375.0,390.0,390.0,0.0,0.0,390.88,399404.0,377.0,156117622.8,1489,13.00,25.00,3.45,6.67,-0.22,442.43,465.53,973.00,327.80
2026-07-22,39,CKHL,45.84,607.1,629.2,593.7,604.9,604.9,0.0,0.0,597.35,15236.0,620.1,9101177.1,40,-15.20,35.50,-2.45,5.98,1.25,675.06,659.03,804.00,525.00
2026-07-22,40,CLI,38.95,429.0,453.0,429.0,450.0,450.0,0.0,0.0,448.06,5568.0,451.5,2494797.6,126,-1.50,24.00,-0.33,5.59,0.43,462.56,466.74,540.00,411.00
2026-07-22,41,CORBL,26.21,1390.0,1555.0,1282.0,1439.0,1439.0,0.0,0.0,1394.94,80525.0,1400.0,112327498.8,1051,39.00,273.00,2.79,21.29,3.06,"1,860.13","1,797.63","3,183.00","1,282.00"
2026-07-22,42,CREST,41.27,1220.0,1266.0,1160.0,1222.0,1222.0,0.0,0.0,1215.64,10216.0,1239.7,12418996.0,145,-17.70,106.00,-1.43,9.14,0.52,"1,289.50","1,277.98","1,588.00",985.20
2026-07-22,43,CSY,45.35,9.1,9.32,9.0,9.32,9.32,0.0,0.0,9.28,12484.0,9.1,115882.08,27,0.22,0.32,2.42,3.56,0.40,0.00,0.00,10.00,8.78
