date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2026-06-24,1,ACLBSL,26.5,940.0,956.0,940.0,955.0,955.0,0.0,0.0,945.33,1035.0,945.2,978412.7,33,9.80,16.00,1.04,1.70,1.01,966.75,981.81,"1,240.00",827.90
2026-06-24,2,ADBL,33.59,302.1,307.7,302.0,307.7,307.7,0.0,0.0,304.06,17126.0,307.5,5207285.4,151,0.20,5.70,0.07,1.89,1.18,307.69,309.35,344.90,277.00
2026-06-24,3,AHL,31.07,460.0,502.0,460.0,470.0,470.0,0.0,0.0,466.03,2505.0,474.9,1167400.0,57,-4.90,42.00,-1.03,9.13,0.85,527.84,559.15,700.00,451.30
2026-06-24,4,AHPC,31.59,279.9,279.9,260.2,266.9,266.9,0.0,0.0,265.87,150040.0,268.1,39890536.3,449,-1.20,19.70,-0.45,7.57,0.39,280.94,281.62,334.00,250.10
2026-06-24,5,AKJCL,20.87,368.5,375.0,356.0,371.5,371.5,0.0,0.0,363.4,815172.0,368.5,296233269.3,1415,3.00,19.00,0.81,5.34,2.18,343.25,292.46,461.40,172.90
2026-06-24,6,AKPL,33.54,259.5,263.0,255.0,262.6,262.6,0.0,0.0,257.2,87384.0,259.5,22475282.8,339,3.10,8.00,1.19,3.14,2.06,268.69,261.74,317.00,227.50
2026-06-24,7,ALBSL,23.6,1090.0,1090.0,1050.0,1080.0,1080.0,0.0,0.0,1066.46,4470.0,1085.0,4767065.3,68,-5.00,40.00,-0.46,3.81,1.25,"1,145.13","1,108.50","1,334.00",780.10
2026-06-24,8,ALICL,27.44,441.1,441.4,438.1,440.1,440.1,0.0,0.0,439.52,29108.0,443.0,12793599.4,105,-2.90,3.30,-0.65,0.75,0.13,462.83,465.27,550.00,430.00
2026-06-24,9,ANLB,38.8,5899.0,5899.0,5723.0,5875.0,5875.0,0.0,0.0,5800.24,161.0,5899.0,933838.7,17,-24.00,176.00,-0.41,3.08,1.27,"6,175.40","6,177.52","6,989.00","5,220.00"
2026-06-24,10,APHL,24.3,860.0,900.0,810.0,875.0,875.0,0.0,0.0,844.77,39477.0,857.0,33349079.0,3503,18.00,90.00,2.10,11.11,3.45,0.00,0.00,"1,053.40",299.70
2026-06-24,11,API,32.5,337.0,339.0,331.1,337.8,337.8,0.0,0.0,334.07,219330.0,339.0,73272020.7,663,-1.20,7.90,-0.35,2.39,1.10,326.52,312.41,370.00,258.80
2026-06-24,12,AVYAN,39.36,1055.0,1079.9,1041.2,1055.0,1055.0,0.0,0.0,1047.0,4154.0,1055.0,4349227.0,60,0.00,38.70,0.00,3.72,0.76,"1,057.42","1,035.27","1,366.00",906.00
2026-06-24,13,BANDIPUR,31.9,800.0,800.0,755.0,779.5,779.5,0.0,0.0,776.08,40626.0,800.2,31528912.1,686,-20.70,45.00,-2.59,5.96,0.44,886.21,0.00,"1,233.00",285.00
2026-06-24,14,BARUN,34.13,337.0,337.0,320.3,329.0,329.0,0.0,0.0,323.85,38770.0,330.0,12555707.1,231,-1.00,16.70,-0.30,5.21,1.57,348.44,342.64,473.00,292.10
2026-06-24,15,BBC,35.28,4123.0,4480.0,4123.0,4298.0,4298.0,0.0,0.0,4228.59,602.0,4250.1,2545612.0,39,47.90,357.00,1.13,8.66,1.61,"4,781.26","4,839.93","6,120.00","4,100.00"
2026-06-24,16,BEDC,24.16,359.0,359.0,342.0,346.0,346.0,0.0,0.0,347.09,30077.0,351.0,10439535.7,251,-5.00,17.00,-1.42,4.97,-0.32,462.80,510.15,872.00,342.00
2026-06-24,17,BFC,38.09,486.7,521.5,486.7,520.1,520.1,0.0,0.0,516.02,87068.0,512.3,44928460.5,441,7.80,34.80,1.52,7.15,0.79,475.37,472.82,579.90,411.50
2026-06-24,18,BGWT,25.78,671.3,671.3,605.0,616.0,616.0,0.0,0.0,617.6,1829.0,639.4,1129598.6,55,-23.40,66.30,-3.66,10.96,-0.26,732.08,758.49,"1,110.00",586.50
2026-06-24,19,BHCL,41.21,525.0,549.7,522.0,547.0,547.0,0.0,0.0,536.37,65740.0,527.0,35260995.8,569,20.00,27.70,3.80,5.31,1.94,560.82,528.71,699.00,292.10
2026-06-24,20,BHDC,22.37,425.1,449.0,425.1,445.0,445.0,0.0,0.0,442.64,8193.0,447.4,3626521.8,87,-2.40,23.90,-0.54,5.62,0.53,474.37,492.81,706.00,425.10
2026-06-24,21,BHL,32.42,213.5,215.0,208.0,210.0,210.0,0.0,0.0,209.59,114607.0,213.5,24020424.0,536,-3.50,7.00,-1.64,3.37,0.20,211.87,202.32,264.40,164.00
2026-06-24,22,BHPL,24.99,492.0,523.0,492.0,519.9,519.9,0.0,0.0,512.78,7740.0,517.1,3968926.4,82,2.80,31.00,0.54,6.30,1.37,550.63,594.71,916.90,492.00
2026-06-24,23,BJHL,41.4,800.0,943.0,781.0,943.0,943.0,0.0,0.0,811.16,8327.0,822.2,6754567.1,236,120.80,162.00,14.69,20.74,13.98,0.00,0.00,"1,305.00",270.10
2026-06-24,24,BNHC,28.72,327.0,327.0,315.0,317.5,317.5,0.0,0.0,316.08,2621.0,323.7,828450.6,34,-6.20,12.00,-1.92,3.81,0.45,388.22,409.55,613.80,313.00
2026-06-24,25,BNT,24.69,11525.0,11525.0,11525.0,11525.0,11525.0,0.0,0.0,11525.0,10.0,11760.0,115250.0,1,-235.00,0.00,-2.00,0.00,0.00,"11,796.88","11,683.47","13,205.00","10,660.00"
2026-06-24,26,BPCL,31.28,666.0,666.0,640.0,657.0,657.0,0.0,0.0,649.57,32236.0,666.0,20939642.9,183,-9.00,26.00,-1.35,4.06,1.13,715.43,723.60,"1,065.00",623.00
2026-06-24,27,BUNGAL,17.92,700.0,703.0,662.0,669.0,669.0,0.0,0.0,670.45,36626.0,688.5,24556035.8,465,-19.50,41.00,-2.83,6.19,-0.22,659.53,0.00,895.00,302.40
2026-06-24,28,C30MF,26.47,9.81,10.0,9.81,10.0,10.0,0.0,0.0,9.88,300.0,10.1,2965.0,3,-0.10,0.19,-0.99,1.94,1.17,9.86,9.67,10.71,8.70
2026-06-24,29,CBBL,30.02,912.0,915.0,908.1,910.5,910.5,0.0,0.0,910.48,15062.0,913.1,13713706.6,165,-2.60,6.90,-0.28,0.76,0.00,932.89,958.03,"1,144.80",866.20
2026-06-24,30,CBLD88,21.19,1215.4,1215.4,1215.4,1215.4,1215.4,0.0,0.0,1215.4,50.0,1180.0,60770.0,2,35.40,0.00,3.00,0.00,0.00,"1,208.62","1,187.46","1,325.00","1,108.00"
2026-06-24,31,CFCL,27.04,591.9,634.0,591.9,624.0,624.0,0.0,0.0,619.35,99615.0,623.0,61696810.0,304,1.00,42.10,0.16,7.11,0.74,537.54,520.52,695.00,445.10
2026-06-24,32,CGH,31.45,770.2,780.0,763.0,764.1,764.1,0.0,0.0,768.69,22504.0,770.2,17298705.6,133,-6.10,17.00,-0.79,2.23,-0.60,835.42,857.21,"1,150.00",748.00
2026-06-24,33,CHCL,22.41,481.0,486.0,478.0,479.0,479.0,0.0,0.0,479.43,20045.0,485.0,9610137.0,175,-6.00,8.00,-1.24,1.67,-0.09,484.26,487.28,584.00,450.30
2026-06-24,34,CHDC,26.95,2219.1,2219.9,2140.0,2188.9,2188.9,0.0,0.0,2158.89,19112.0,2197.0,41260764.8,231,-8.10,79.90,-0.37,3.73,1.37,"2,356.65","2,348.23","2,997.90","1,990.00"
2026-06-24,35,CHL,26.96,270.1,273.0,265.0,266.0,266.0,0.0,0.0,268.14,13333.0,273.0,3575096.0,75,-7.00,8.00,-2.56,3.02,-0.80,286.48,276.28,359.50,223.40
2026-06-24,36,CIT,32.24,1630.3,1717.0,1630.3,1712.1,1712.1,0.0,0.0,1705.38,7008.0,1716.0,11951324.0,193,-3.90,86.70,-0.23,5.32,0.39,"1,783.98","1,810.67","2,168.00","1,630.30"
