date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-05-20,1,ACLBSL,44.98,1056.0,1056.0,1035.0,1054.94,1055.5,0.56,0.0,1048.47,2696.0,1036.2,2826667.6,46,18.74,21.00,1.81,2.03,0.61,"1,491.00",880.00
2025-05-20,2,ADBL,44.38,282.0,290.7,280.0,289.4,290.7,1.3,0.0,286.3,29990.0,282.78,8586259.2,190,6.62,10.70,2.34,3.82,1.07,428.40,249.90
2025-05-20,3,AHL,33.97,665.0,685.0,650.0,681.94,685.0,3.06,0.0,669.93,3012.0,661.64,2017839.0,63,20.30,35.00,3.07,5.38,1.76,904.00,431.40
2025-05-20,4,AHPC,25.84,289.5,295.9,278.1,293.56,293.8,0.24,0.0,289.01,297252.0,283.9,85908821.6,860,9.66,17.80,3.40,6.40,1.55,349.00,149.00
2025-05-20,5,AKJCL,33.37,207.8,212.8,204.9,211.63,211.9,0.27,0.0,209.39,131647.0,206.78,27565248.2,492,4.85,7.90,2.35,3.86,1.06,274.90,150.90
2025-05-20,6,AKPL,30.87,240.0,258.0,236.0,251.29,253.0,1.71,0.01,248.04,231417.0,240.41,57400355.9,770,10.88,22.00,4.53,9.32,1.29,326.00,157.20
2025-05-20,7,ALBSL,38.92,787.0,816.0,787.0,812.41,816.0,3.59,0.0,801.88,1592.0,800.57,1276589.9,61,11.84,29.00,1.48,3.68,1.30,"1,177.00",771.00
2025-05-20,8,ALICL,41.98,718.0,732.0,714.0,730.34,731.4,1.06,0.0,721.74,27001.0,718.63,19487808.2,143,11.71,18.00,1.63,2.52,1.18,831.00,542.10
2025-05-20,9,ANLB,28.33,5194.0,5285.0,5160.0,5207.66,5200.0,7.66,0.0,5198.26,234.0,5299.5,1216392.2,24,-91.84,125.00,-1.73,2.42,0.18,"6,735.00","2,200.20"
2025-05-20,10,API,25.4,297.4,305.9,287.1,303.64,302.0,1.64,0.01,298.46,220781.0,291.65,65894599.1,816,11.99,18.80,4.11,6.55,1.71,390.00,163.80
2025-05-20,11,AVYAN,39.84,998.0,1025.0,998.0,1017.38,1025.0,7.62,0.01,1007.92,1393.0,1005.48,1404036.0,48,11.90,27.00,1.18,2.71,0.93,"1,306.80",804.40
2025-05-20,12,BARUN,41.42,528.0,549.0,528.0,539.77,540.0,0.23,0.0,542.57,120516.0,538.36,65387802.3,376,1.41,21.00,0.26,3.98,-0.52,589.00,230.30
2025-05-20,13,BBC,33.38,5718.0,5718.0,5600.0,5698.0,5698.0,0.0,0.0,5648.79,380.0,5609.64,2146540.0,35,88.36,118.00,1.58,2.11,0.86,"7,247.00","3,684.80"
2025-05-20,14,BEDC,35.02,680.0,696.0,673.1,691.29,691.1,0.19,0.0,685.03,14281.0,670.75,9782872.9,124,20.54,22.90,3.06,3.40,0.91,"1,080.00",361.40
2025-05-20,15,BFC,37.05,477.2,499.8,477.2,496.44,497.0,0.56,0.0,493.04,19992.0,486.78,9856922.4,151,9.66,22.60,1.98,4.74,0.68,951.60,389.00
2025-05-20,16,BGWT,37.28,945.0,955.9,925.0,951.87,950.6,1.27,0.0,942.54,6049.0,938.75,5701447.1,57,13.12,30.90,1.40,3.34,0.98,"1,361.70",650.00
2025-05-20,17,BHDC,30.49,452.1,482.0,452.1,478.86,480.0,1.14,0.0,466.33,10699.0,455.64,4989251.9,147,23.22,29.90,5.10,6.61,2.62,829.70,452.10
2025-05-20,18,BHL,39.17,215.0,222.3,215.0,221.27,221.8,0.53,0.0,218.47,234258.0,215.3,51178015.3,842,5.97,7.30,2.77,3.40,1.27,520.00,211.70
2025-05-20,19,BHPL,48.45,1165.7,1308.4,1070.6,1192.58,1101.6,90.98,0.08,1114.32,48305.0,1189.46,53826994.7,476,3.12,237.80,0.26,22.21,6.56,"1,308.40",519.70
2025-05-20,20,BNHC,37.56,504.0,506.9,490.0,503.41,506.5,3.09,0.01,501.89,8456.0,498.0,4244010.1,131,5.41,16.90,1.09,3.45,0.30,742.00,440.00
2025-05-20,21,BNT,37.38,12500.0,12649.0,12500.0,12583.0,12550.0,33.0,0.0,12566.33,60.0,12450.0,753980.0,5,133.00,149.00,1.07,1.19,0.13,"18,100.00","12,300.00"
