date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-08-18,1,ACLBSL,24.36,1105.0,1105.0,1083.0,1083.0,1083.0,0.0,0.0,1091.7,2082.0,1088.94,2272928.2,38,-5.94,22.00,-0.55,2.03,-0.80,"1,284.90",965.00
2025-08-18,2,ACLBSLP,31.91,613.0,613.0,613.0,613.0,613.0,0.0,0.0,613.0,8359.0,613.0,5124067.0,1,0.00,0.00,0.00,0.00,0.00,613.00,556.00
2025-08-18,3,ADBL,37.49,337.0,338.8,334.0,337.68,338.8,1.12,0.0,336.78,81072.0,334.66,27303826.8,428,3.02,4.80,0.90,1.44,0.27,428.40,272.30
2025-08-18,4,ADBLD83,29.45,1080.1,1080.1,1080.0,1080.0,1080.0,0.0,0.0,1080.06,25.0,1100.0,27001.5,2,-20.00,0.10,-1.82,0.01,-0.01,"1,160.00","1,046.00"
2025-08-18,5,AHL,38.99,625.0,642.0,620.0,637.81,641.0,3.19,0.0,633.12,5057.0,627.73,3201686.1,143,10.08,22.00,1.61,3.55,0.74,891.00,579.50
2025-08-18,6,AHPC,35.82,290.3,300.0,290.3,296.48,297.0,0.52,0.0,296.55,243770.0,295.43,72290521.9,661,1.05,9.70,0.36,3.34,-0.02,349.00,239.30
2025-08-18,7,AKJCL,30.85,205.0,207.9,205.0,206.22,206.5,0.28,0.0,206.48,99015.0,206.25,20444915.7,347,-0.03,2.90,-0.01,1.41,-0.13,274.90,187.20
2025-08-18,8,AKPL,25.67,264.0,265.4,259.0,262.06,262.9,0.84,0.0,261.42,166540.0,260.23,43536305.1,522,1.83,6.40,0.70,2.47,0.25,318.00,211.30
2025-08-18,9,ALBSL,22.17,972.4,995.0,972.4,988.35,988.3,0.05,0.0,988.22,10389.0,990.89,10266640.0,112,-2.54,22.60,-0.26,2.32,0.01,"1,175.00",771.00
2025-08-18,10,ALBSLP,32.84,549.0,549.0,549.0,549.0,549.0,0.0,0.0,549.0,3635.0,549.0,1995615.0,1,0.00,0.00,0.00,0.00,0.00,549.00,442.00
2025-08-18,11,ALICL,29.83,481.1,488.8,481.1,483.55,484.0,0.45,0.0,484.44,20034.0,485.11,9705369.1,137,-1.56,7.70,-0.32,1.60,-0.19,831.00,481.10
2025-08-18,12,ANLB,30.34,5778.34,5840.9,5730.2,5837.17,5840.9,3.73,0.0,5785.06,115.0,5778.34,665281.6,18,58.83,110.70,1.02,1.93,0.89,"6,735.00","2,902.70"
2025-08-18,13,API,32.93,296.1,299.0,292.9,296.94,297.9,0.96,0.0,296.2,135668.0,294.68,40185238.9,415,2.26,6.10,0.77,2.08,0.25,390.00,246.20
2025-08-18,14,AVYAN,20.92,1043.0,1043.0,1025.0,1033.83,1032.0,1.83,0.0,1035.32,3073.0,1023.78,3181534.0,48,10.05,18.00,0.98,1.76,-0.14,"1,306.80",832.00
2025-08-18,15,BARUN,31.13,374.0,379.3,364.7,370.59,372.0,1.41,0.0,370.54,61525.0,367.05,22797403.2,304,3.54,14.60,0.96,4.00,0.01,589.00,296.10
2025-08-18,16,BBC,22.86,5444.0,5444.0,5320.0,5409.45,5426.9,17.45,0.0,5378.78,498.0,5339.43,2678631.0,33,70.02,124.00,1.31,2.33,0.57,"7,247.00","4,010.00"
2025-08-18,17,BEDC,26.73,760.0,765.0,751.3,754.66,754.0,0.66,0.0,758.54,13071.0,760.05,9914927.1,103,-5.39,13.70,-0.71,1.82,-0.51,"1,080.00",417.10
2025-08-18,18,BFC,25.32,502.0,512.0,500.0,504.66,506.0,1.34,0.0,504.1,20496.0,505.23,10332062.6,122,-0.57,12.00,-0.11,2.40,0.11,951.60,456.00
2025-08-18,19,BGWT,36.72,900.0,937.0,900.0,915.85,920.0,4.15,0.0,915.79,3419.0,901.41,3131094.1,62,14.44,37.00,1.60,4.11,0.01,"1,241.00",857.60
2025-08-18,20,BHDC,23.05,556.2,582.0,556.2,571.58,571.0,0.58,0.0,572.6,62032.0,567.48,35519523.0,325,4.10,25.80,0.72,4.64,-0.18,760.20,426.00
2025-08-18,21,BHL,29.04,203.6,210.0,197.9,204.33,204.0,0.33,0.0,203.3,587716.0,199.69,119483246.5,1596,4.64,12.10,2.32,6.11,0.50,520.00,195.00
2025-08-18,22,BHPL,39.46,772.0,813.0,772.0,797.54,798.0,0.46,0.0,797.6,6144.0,771.1,4900463.4,99,26.44,41.00,3.43,5.31,-0.01,"1,308.40",654.00
2025-08-18,23,BNHC,24.59,515.0,537.0,515.0,534.0,534.0,0.0,0.0,532.94,22624.0,524.39,12057145.4,169,9.61,22.00,1.83,4.27,0.20,652.00,440.00
2025-08-18,24,BNL,25.85,16711.0,16711.0,16500.0,16500.0,16500.0,0.0,0.0,16605.5,20.0,16711.0,332110.0,2,-211.00,211.00,-1.26,1.28,-0.64,"22,500.00","14,900.00"
2025-08-18,25,BNT,28.36,12200.0,12399.0,12000.0,12000.0,12000.0,0.0,0.0,12075.44,355.0,12162.52,4286780.0,27,-162.52,399.00,-1.34,3.33,-0.63,"16,687.20","12,000.00"
2025-08-18,26,BOKD86,30.98,1025.1,1030.1,1025.1,1030.1,1030.1,0.0,0.0,1028.43,75.0,1040.0,77132.5,2,-9.90,5.00,-0.95,0.49,0.16,"1,095.00",999.00
2025-08-18,27,BPCL,33.45,810.0,844.0,810.0,835.76,840.0,4.24,0.01,826.67,253547.0,819.6,209598599.0,806,16.16,34.00,1.97,4.20,1.09,"1,065.00",375.10
2025-08-18,28,C30MF,25.63,10.3,10.5,10.09,10.16,10.18,0.02,0.0,10.17,270850.0,10.1,2753492.9,50,0.06,0.41,0.59,4.06,-0.06,10.71,8.65
2025-08-18,29,CBBL,22.58,1050.7,1050.7,1020.0,1030.96,1030.0,0.96,0.0,1028.88,28156.0,1030.11,28969265.8,210,0.85,30.70,0.08,3.01,0.20,"1,155.00",821.50
2025-08-18,30,CCBD88,40.78,1150.0,1150.0,1150.0,1150.0,1150.0,0.0,0.0,1150.0,50.0,1150.0,57500.0,2,0.00,0.00,0.00,0.00,0.00,"1,250.00","1,074.70"
2025-08-18,31,CFCL,32.21,515.0,520.0,515.0,516.5,517.0,0.5,0.0,516.67,8546.0,515.9,4415470.6,69,0.60,5.00,0.12,0.97,-0.03,820.00,457.70
2025-08-18,32,CGH,39.12,985.1,1005.0,985.1,990.59,987.0,3.59,0.0,992.82,32323.0,991.58,32091078.1,255,-0.99,19.90,-0.10,2.02,-0.23,"1,280.00",842.10
2025-08-18,33,CHCL,27.8,516.0,524.0,516.0,517.23,518.0,0.77,0.0,518.41,30589.0,515.83,15857692.0,237,1.40,8.00,0.27,1.55,-0.23,670.00,469.70
2025-08-18,34,CHDC,26.88,2589.0,2620.0,2582.0,2599.11,2599.9,0.79,0.0,2602.31,22746.0,2599.02,59192201.1,319,0.09,38.00,0.00,1.47,-0.12,"2,997.90","1,538.60"
2025-08-18,35,CHL,34.58,303.9,307.0,298.0,305.54,306.0,0.46,0.0,301.26,21959.0,298.31,6615316.0,85,7.23,9.00,2.42,3.02,1.40,599.70,276.00
2025-08-18,36,CIT,26.68,1931.1,1939.0,1925.0,1934.89,1935.0,0.11,0.0,1931.91,5321.0,1933.97,10279708.9,134,0.92,14.00,0.05,0.73,0.15,"2,700.00","1,869.00"
2025-08-18,37,CITY,21.21,585.0,590.0,579.3,582.73,584.5,1.77,0.0,580.98,9372.0,584.98,5444934.0,125,-2.25,10.70,-0.38,1.85,0.30,"1,060.80",579.30
2025-08-18,38,CKHL,42.96,655.0,696.0,655.0,685.62,687.0,1.38,0.0,684.37,7747.0,666.87,5301805.5,94,18.75,41.00,2.81,6.26,0.18,910.00,590.00
