date,sno,symbol,conf,open,high,low,close,ltp,close_ltp_diff,close_ltp_pct,vwap,volume,prev_close,turnover,transactions,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025-01-08,1,ACLBSL,44.67,1048.0,1050.0,1030.0,1038.7,1038.7,0.0,0.0,1041.24,3947.0,1028.0,4109790.1,84,10.70,20.00,1.04,1.94,-0.24,"1,491.00",565.10
2025-01-08,2,ADBL,34.06,309.0,309.0,300.0,302.1,302.1,0.0,0.0,302.92,27123.0,303.0,8216170.6,170,-0.90,9.00,-0.30,3.00,-0.27,428.40,223.00
2025-01-08,3,ADBLD83,35.42,1133.2,1133.2,1133.2,1133.2,1133.2,0.0,0.0,1133.2,10.0,1111.0,11332.0,1,22.20,0.00,2.00,0.00,0.00,"1,160.00",966.00
2025-01-08,4,AHL,47.37,735.2,771.0,735.2,764.9,764.9,0.0,0.0,755.18,22957.0,736.9,17336671.0,241,28.00,35.80,3.80,4.87,1.27,904.00,388.20
2025-01-08,5,AHPC,41.85,266.4,266.4,257.0,259.8,259.8,0.0,0.0,259.52,87464.0,261.2,22698276.1,324,-1.40,9.40,-0.54,3.66,0.11,349.00,149.00
2025-01-08,6,AKJCL,41.04,207.0,207.0,202.0,202.5,202.5,0.0,0.0,202.95,106640.0,203.0,21642330.5,382,-0.50,5.00,-0.25,2.48,-0.22,274.90,150.90
2025-01-08,7,AKPL,41.41,245.8,245.8,237.1,239.0,239.0,0.0,0.0,239.15,74585.0,241.0,17837029.0,260,-2.00,8.70,-0.83,3.67,-0.06,326.00,157.20
2025-01-08,8,ALBSL,44.17,808.8,822.0,800.0,810.0,810.0,0.0,0.0,809.84,6122.0,793.0,4957812.5,137,17.00,22.00,2.14,2.75,0.02,"1,177.00",616.90
2025-01-08,9,ALICL,45.39,716.0,738.0,716.0,736.0,736.0,0.0,0.0,726.53,25675.0,722.0,18653571.2,135,14.00,22.00,1.94,3.07,1.29,825.00,523.00
2025-01-08,10,ANLB,36.7,5937.7,6510.0,5453.0,6510.0,6510.0,0.0,0.0,5608.01,6320.0,6058.8,35442629.3,293,451.20,"1,057.00",7.45,19.38,13.86,"6,735.00","1,677.00"
2025-01-08,11,API,41.15,282.5,282.5,273.0,273.6,273.6,0.0,0.0,274.38,91988.0,277.0,25239755.2,431,-3.40,9.50,-1.23,3.48,-0.29,390.00,162.00
2025-01-08,12,AVYAN,41.23,1020.0,1059.0,1000.5,1016.1,1016.1,0.0,0.0,1033.68,6469.0,1000.0,6686890.0,111,16.10,58.50,1.61,5.85,-1.73,"1,195.00",574.50
2025-01-08,13,BARUN,44.76,421.2,421.2,408.0,417.0,417.0,0.0,0.0,415.21,74048.0,414.9,30745553.6,282,2.10,13.20,0.51,3.24,0.43,472.00,211.00
2025-01-08,14,BBC,31.81,6056.7,6056.7,5820.0,5840.0,5840.0,0.0,0.0,5869.92,615.0,5938.0,3609998.0,35,-98.00,236.70,-1.65,4.07,-0.51,"7,247.00","3,525.00"
2025-01-08,15,BEDC,30.86,760.0,765.0,724.1,737.0,737.0,0.0,0.0,735.67,44425.0,750.0,32682162.3,392,-13.00,40.90,-1.73,5.65,0.18,819.60,311.00
2025-01-08,16,BFC,44.69,691.5,745.8,670.2,710.0,710.0,0.0,0.0,713.2,130682.0,678.0,93201937.8,886,32.00,75.60,4.72,11.28,-0.45,951.60,309.40
2025-01-08,17,BGWT,47.33,994.7,1044.0,994.7,1044.0,1044.0,0.0,0.0,1025.41,21076.0,1015.0,21611551.1,270,29.00,49.30,2.86,4.96,1.78,"1,361.70",548.00
2025-01-08,18,BHDC,45.55,715.0,723.0,701.1,722.5,722.5,0.0,0.0,711.98,32958.0,705.0,23465426.8,297,17.50,21.90,2.48,3.12,1.46,829.70,426.00
2025-01-08,19,BHL,39.02,383.7,384.0,371.2,378.0,378.0,0.0,0.0,379.22,14673.0,377.0,5564239.4,124,1.00,12.80,0.27,3.45,-0.32,520.00,276.90
2025-01-08,20,BHPL,25.96,850.0,869.0,770.0,770.0,770.0,0.0,0.0,842.2,13672.0,852.6,11514591.9,156,-82.60,99.00,-9.69,12.86,-9.38,931.70,435.20
2025-01-08,21,BNHC,44.81,490.0,500.6,482.3,489.0,489.0,0.0,0.0,489.58,17324.0,490.8,8481405.5,164,-1.80,18.30,-0.37,3.79,-0.12,742.00,380.30
2025-01-08,22,BNT,30.68,13500.0,13500.0,13338.2,13490.0,13490.0,0.0,0.0,13401.28,50.0,13500.0,670064.0,4,-10.00,161.80,-0.07,1.21,0.66,"18,100.00","11,700.00"
2025-01-08,23,BPCL,39.39,415.1,415.1,399.0,407.0,407.0,0.0,0.0,402.89,9944.0,407.0,4006356.0,78,0.00,16.10,0.00,4.04,1.01,536.50,284.40
2025-01-08,24,CBBL,43.7,856.0,870.0,852.0,866.0,866.0,0.0,0.0,860.8,16399.0,847.0,14116215.0,213,19.00,18.00,2.24,2.11,0.60,"1,155.00",800.00
2025-01-08,25,CBLD88,38.03,1170.0,1170.0,1170.0,1170.0,1170.0,0.0,0.0,1170.0,25.0,1171.0,29250.0,1,-1.00,0.00,-0.09,0.00,0.00,"1,200.00",941.00
2025-01-08,26,CCBD88,37.59,1190.3,1190.3,1190.3,1190.3,1190.3,0.0,0.0,1190.3,50.0,1167.0,59515.0,1,23.30,0.00,2.00,0.00,0.00,"1,250.00",952.00
2025-01-08,27,CFCL,40.92,614.0,650.0,609.9,638.1,638.1,0.0,0.0,631.56,51871.0,602.0,32759757.1,416,36.10,40.10,6.00,6.57,1.02,820.00,318.00
2025-01-08,28,CGH,40.7,910.1,912.5,906.0,907.0,907.0,0.0,0.0,910.06,10005.0,914.0,9105114.7,145,-7.00,6.50,-0.77,0.72,-0.34,"1,360.00",760.00
2025-01-08,29,CHCL,37.44,522.2,522.2,509.0,511.0,511.0,0.0,0.0,511.83,22756.0,512.0,11647180.2,138,-1.00,13.20,-0.20,2.59,-0.16,697.00,426.30
2025-01-08,30,CHDC,41.02,1675.7,1675.7,1610.0,1619.0,1619.0,0.0,0.0,1625.87,16734.0,1643.0,27207295.4,177,-24.00,65.70,-1.46,4.08,-0.42,"2,370.00",627.00
2025-01-08,31,CHL,42.58,421.0,428.0,413.3,423.8,423.8,0.0,0.0,422.93,32778.0,420.0,13862826.8,203,3.80,14.70,0.90,3.56,0.21,447.00,252.00
2025-01-08,32,CIT,30.18,2056.5,2056.5,1998.0,2000.0,2000.0,0.0,0.0,2016.19,15477.0,2016.2,31204606.9,268,-16.20,58.50,-0.80,2.93,-0.81,"2,700.00","1,887.00"
2025-01-08,33,CITY,43.99,903.2,913.5,901.0,901.0,901.0,0.0,0.0,905.11,12186.0,901.0,11029666.0,135,0.00,12.50,0.00,1.39,-0.46,"1,168.50",559.00
2025-01-08,34,CKHL,48.26,748.8,840.4,748.8,839.1,839.1,0.0,0.0,799.43,122373.0,764.0,97828647.45,816,75.10,91.60,9.83,12.23,4.73,840.40,480.50
2025-01-08,35,CLI,45.6,698.0,704.0,690.3,704.0,704.0,0.0,0.0,698.26,52431.0,700.0,36610345.7,637,4.00,13.70,0.57,1.98,0.82,731.00,418.50
2025-01-08,36,CMF1,41.28,10.42,10.75,10.42,10.74,10.74,0.0,0.0,10.55,13408.0,10.59,141520.92,9,0.15,0.33,1.42,3.17,1.72,11.22,8.15
2025-01-08,37,CMF2,40.16,9.89,9.89,9.89,9.89,9.89,0.0,0.0,9.89,200.0,10.09,1978.0,1,-0.20,0.00,-1.98,0.00,0.00,10.68,7.44
2025-01-08,38,CORBL,42.21,1773.7,1815.0,1755.0,1789.0,1789.0,0.0,0.0,1794.88,9615.0,1739.0,17257765.8,137,50.00,60.00,2.88,3.42,-0.33,"1,920.00",348.00
2025-01-08,39,CYCL,27.24,1616.7,1616.7,1570.1,1570.1,1570.1,0.0,0.0,1586.93,3138.0,1585.0,4979789.7,89,-14.90,46.60,-0.94,2.97,-1.07,"1,923.90","1,007.10"
2025-01-08,40,CZBIL,24.35,219.4,219.4,214.6,215.9,215.9,0.0,0.0,215.43,40933.0,215.1,8818038.5,206,0.80,4.80,0.37,2.24,0.22,296.00,152.50
2025-01-08,41,DDBL,40.72,791.0,800.0,790.0,795.1,795.1,0.0,0.0,797.57,9100.0,783.0,7257884.7,108,12.10,10.00,1.55,1.27,-0.31,"1,099.00",670.00
2025-01-08,42,DHPL,35.75,304.0,308.0,298.0,306.0,306.0,0.0,0.0,304.32,24372.0,305.7,7416882.6,143,0.30,10.00,0.10,3.36,0.55,350.00,182.30
2025-01-08,43,DLBS,35.12,1728.0,1742.0,1668.0,1685.0,1685.0,0.0,0.0,1710.27,5922.0,1695.0,10128194.1,121,-10.00,74.00,-0.59,4.44,-1.50,"1,870.00",751.00
2025-01-08,44,DOLTI,28.97,739.2,740.0,696.0,714.0,714.0,0.0,0.0,722.89,49877.0,754.2,36055566.5,471,-40.20,44.00,-5.33,6.32,-1.25,838.00,295.90
2025-01-08,45,DORDI,48.12,643.0,643.0,605.1,605.1,605.1,0.0,0.0,615.43,58253.0,633.5,35850422.5,487,-28.40,37.90,-4.48,6.26,-1.71,650.00,308.00
2025-01-08,46,EBL,45.59,590.0,590.8,585.0,590.8,590.8,0.0,0.0,587.76,44501.0,586.9,26156066.0,240,3.90,5.80,0.66,0.99,0.51,790.00,480.00
2025-01-08,47,EDBL,39.76,603.0,632.0,603.0,627.0,627.0,0.0,0.0,621.45,59577.0,603.0,37024258.0,355,24.00,29.00,3.98,4.81,0.88,774.00,325.10
2025-01-08,48,EHPL,42.67,814.0,814.0,790.0,800.0,800.0,0.0,0.0,795.01,7850.0,805.0,6240837.7,92,-5.00,24.00,-0.62,3.04,0.62,997.00,389.00
2025-01-08,49,ENL,38.15,1177.0,1209.0,1177.0,1194.1,1194.1,0.0,0.0,1193.52,1688.0,1198.0,2014660.5,44,-3.90,32.00,-0.33,2.72,0.05,"1,453.50",728.00
2025-01-08,50,FMDBL,43.73,748.6,770.0,748.6,752.0,752.0,0.0,0.0,756.79,37265.0,734.0,28201841.2,237,18.00,21.40,2.45,2.86,-0.64,"1,004.00",565.00
2025-01-08,51,FOWAD,44.73,1278.0,1300.0,1253.5,1281.0,1281.0,0.0,0.0,1277.69,3244.0,1254.0,4144822.9,56,27.00,46.50,2.15,3.71,0.26,"1,739.00",976.00
2025-01-08,52,GBBD85,33.83,1058.0,1059.0,1058.0,1059.0,1059.0,0.0,0.0,1058.29,105.0,1056.0,111120.0,3,3.00,1.00,0.28,0.09,0.07,"1,090.30",843.00
2025-01-08,53,GBBL,43.49,396.0,403.0,395.0,402.0,402.0,0.0,0.0,398.69,39187.0,396.0,15623408.4,153,6.00,8.00,1.52,2.03,0.82,531.40,350.00
2025-01-08,54,GBIME,23.99,228.0,228.0,222.2,223.9,223.9,0.0,0.0,223.47,64344.0,223.6,14378767.3,409,0.30,5.80,0.13,2.61,0.19,302.00,170.00
2025-01-08,55,GBLBS,46.34,790.0,811.0,780.0,804.0,804.0,0.0,0.0,806.11,18966.0,776.9,15288625.7,173,27.10,31.00,3.49,3.97,-0.26,979.50,517.20
2025-01-08,56,GCIL,41.48,511.0,511.0,492.3,505.0,505.0,0.0,0.0,503.41,38836.0,501.0,19550427.6,461,4.00,18.70,0.80,3.80,0.31,668.00,446.30
2025-01-08,57,GFCL,45.35,820.0,867.0,816.0,858.8,858.8,0.0,0.0,847.97,81164.0,815.0,68824858.7,741,43.80,51.00,5.37,6.25,1.26,"1,353.00",419.00
2025-01-08,58,GHL,40.61,214.0,216.8,212.0,213.1,213.1,0.0,0.0,212.79,38977.0,214.0,8293880.0,177,-0.90,4.80,-0.42,2.26,0.15,283.00,141.00
2025-01-08,59,GIBF1,48.08,9.8,10.05,9.8,10.05,10.05,0.0,0.0,10.04,96100.0,9.98,964401.0,11,0.07,0.25,0.70,2.55,0.15,10.60,7.92
2025-01-08,60,GILB,46.36,1199.0,1245.0,1199.0,1216.0,1216.0,0.0,0.0,1226.97,4987.0,1185.0,6118897.6,88,31.00,46.00,2.62,3.84,-0.90,"1,815.00",750.00
2025-01-08,61,GLBSL,34.65,2351.3,2470.0,2351.3,2400.0,2400.0,0.0,0.0,2416.83,2208.0,2394.0,5336364.3,89,6.00,118.70,0.25,5.05,-0.70,"3,300.00",689.20
2025-01-08,62,GLH,43.13,254.7,254.8,249.0,251.0,251.0,0.0,0.0,250.8,39063.0,253.3,9797094.4,196,-2.30,5.80,-0.91,2.33,0.08,336.00,196.00
2025-01-08,63,GMFBS,41.67,1867.6,1867.6,1790.0,1824.0,1824.0,0.0,0.0,1818.64,6547.0,1831.0,11906665.7,99,-7.00,77.60,-0.38,4.34,0.29,"2,327.00",702.00
2025-01-08,64,GMFIL,41.89,547.0,599.5,547.0,576.0,576.0,0.0,0.0,575.54,36829.0,547.0,21196681.3,312,29.00,52.50,5.30,9.60,0.08,759.00,333.00
2025-01-08,65,GRDBL,50.3,1197.4,1290.0,1176.0,1255.0,1255.0,0.0,0.0,1222.71,54945.0,1174.0,67181536.2,481,81.00,114.00,6.90,9.69,2.57,"1,290.00",313.00
2025-01-08,66,GUFL,44.39,673.0,705.0,673.0,695.0,695.0,0.0,0.0,695.54,26578.0,674.0,18486154.3,255,21.00,32.00,3.12,4.75,-0.08,"1,041.00",516.00
2025-01-08,67,GVL,47.02,561.0,571.0,533.0,565.0,565.0,0.0,0.0,555.75,41612.0,550.0,23125809.2,380,15.00,38.00,2.73,7.13,1.64,699.90,402.40
2025-01-08,68,H8020,45.51,9.85,10.1,9.85,10.03,10.03,0.0,0.0,10.04,495650.0,10.01,4975247.0,74,0.02,0.25,0.20,2.54,-0.08,10.83,8.30
2025-01-08,69,HATHY,42.09,1370.0,1380.0,1353.0,1369.9,1369.9,0.0,0.0,1368.17,13100.0,1368.9,17923003.7,219,1.00,27.00,0.07,2.00,0.13,"1,816.00",805.90
2025-01-08,70,HBL,39.76,246.7,246.7,238.0,240.8,240.8,0.0,0.0,239.06,21201.0,241.9,5068286.5,168,-1.10,8.70,-0.45,3.66,0.72,312.10,167.10
